id,scheda,nctn,inventario,suffisso,cmpd,titolo,deso,l3,l4,piano,sala,contenitore,comune,via,geonote,dtzgi,dtzgf,dtzs,dtsi,dtsf,stcc,oss
88,,333913,52019,,13/09/2020,Contursi-333913,"Rilievo fittile raffigurante personaggio maschile semisdraiato su kline. Viso tondo, occhi a mandorla, bocca piccola e carnosa. Capigliatura a ricci resa con doppia fascia di globetti in argilla applicata sulla fronte e trecce che scendono compatte, con linee orizzontali, lungo i lati del viso e si suddividono in ciocche sulle spalle. Indossa un diadema a globetti mal conservato e restano tracce della manica dell'abito che lascia scoperto l'avambraccio. L'unico braccio conservato è ripiegato al petto e la mano relativa regge una phiale. Manca la parte inferiore del corpo.",30,223,2,24,21,45,,Saturo,24,24,2,-510,-501,8,"Scavi presso Genio Civile,1947"
238,,344978,187133,,03/11/2020,Contursi-344978,"Piede a disco appartenente a un vaso di forma chiusa di produzione attica. Sulla parte esterna, a risparmio, del piede è presente un'iscrizione dedicatoria a Gaia, incisa, con lettere destrorse. Iscrizione: ΓΑΙΑ",43,607,2,24,25,45,,Saturo,24,24,2,-510,-501,8,"Santuario della Sorgente, Stipe votiva arcaica,Lo Porto,1977"
826,,348033,22863,,03/12/2020,Contursi-348033,"Diadema funerario in argento e lamina d'oro. Forma rettangolare, a nastro, con i bordi decorati con fascia di linguette e la parte centrale con rosette e perline applicate. Al centro elementi discoidali baccellati. Alle estremità anelli.",4,38,2,28,66,108,Ospedale Civile SS. Annunziata,,24,24,2,-510,-501,8,"tomba,22.03.1920"
59,,333899,207917,,10/10/2020,Contursi-333899,"Statuetta femminile in terracotta. Il viso è triangolare, gli occhi a mandorla, la linea delle sopracciglia è ben evidente e in continuità con le orecchie e con il naso prominente di forma piramidale, la bocca è piccola resa con un'incisione dritta, il mento è rettangolare. La capigliatura è resa a trecce, con un cordone di argilla ondulato, che ricadono lungo i lati del viso. Dell'abito resta visibile solo una parte, fino all'altezza della vita, con bordino e fascia rossa. Colore rosso sui capelli e sul viso. Mancano le braccia e la porzione inferiore del corpo.",31,232,2,24,19,104,Passo di Giacobbe,,23,23,2,-610,-601,8,
110,,333932,119816,,20/06/2020,Contursi-333932,"Figurina femminile in terracotta. Vestita con mantello di cui sono visibili, sulle spalle, tracce in rosso di due bande, forse a indicare il panneggio e il bordo del mantello. I capelli, a trecce, sono indicati con il colore rosso, ancora visibile sulle spalle e fino all'altezza del petto. Acefala e priva della parte inferiore del corpo.",31,232,2,24,22,45,,Saturo,23,23,2,-610,-601,8,"Scavo dell'Acropoli, deposito 1959,Felice Gino Lo Porto,1959"
348,,345173,4774,,19/06/2020,Contursi-345173,"Oinochoe a corpo conico protocorinzia, di cui si conserva solo il collo. Decorazione in bruno: linee parallele orizzontali alternate a quattro fasce con linee ondulate e a meandro.",43,547,2,25,32,186,,Contrada Purgatorio,22,22,2,-710,-701,8,
13,,333838,196485,,02/04/2020,Contursi-333838,"Mortaio acromo. Orlo estroflesso, pendulo, dal profilo fortemente convesso; vasca profonda; piede a disco. Beccuccio rettangolare, appena inclinato verso il basso, a profilo continuo con l'orlo. Anse a presa con insellature rese con ditate.",43,545,2,24,18,185,Via G. Martino,,25,26,17,-411,-300,8,1987-1988
14,,333839,196536,,21/11/2020,Contursi-333839,"Mortaio acromo. Orlo estroflesso, pendulo, dal profilo fortemente convesso; vasca profonda; piede a disco. Beccuccio rettangolare, appena inclinato verso il basso, a profilo continuo con l'orlo. Anse a presa con insellature rese con ditate.",43,545,2,24,18,185,Via G. Martino,,25,26,17,-411,-300,8,1987-1988
326,,345068,212397,,06/11/2020,Contursi-345068,"Ciotola acroma. Orlo carenato, vasca globulare, basso piede ad anello. Iscrizione dipinta con vernice bruna diluita, sulla carena dell'orlo : ε]ὐφαμία ἔστω τῷ hη[---. Sulla vasca, appena sotto l'orlo: δα(μόσιος)",43,485,2,25,29,186,,,26,27,15,-310,-290,8,"Complesso ipogeico,Lo Porto F. G.,1971"
403,,345260,12252,,19/08/2020,Contursi-345260,"Vaghi baccellati in oro. Forma lenticolare, su lamina. Costituiti da due calotte baccellate sovrapposte nel punto di massima espansione. Pertinenti a collana del Tipo I H De Juliis, si conservano 30 vaghi.",4,48,2,25,35,186,,Contrada Purgatorio,26,27,15,-310,-290,8,"tomba 130,1912"
421,,345265,37445,,24/09/2020,Contursi-345265,Vaghi biconici in oro con foro passante ed estremità definite da filo grondato. Pertinenti a collana di cui si conservano sei vaghi.,4,48,2,25,35,197,,,26,27,15,-310,-290,8,
136,,333916,119550,,28/04/2020,Contursi-333916,"Fr. di skyphos a figure rosse. Decorato con Nike alata rivolta a destra. Le ali sono aperte, la chioma è ricciuta,
indossa un chitone con ampio panneggio ricco di dettagli, collana di perle al collo. Sotto l'orlo iscrizione: HIAPA FINT[IAS]. Assimilato da Lo Porto agli skyphoi del pittore di Creusa e da Trendall allo Schwerin group, entrambi databili con un decennio di oscillazione, agli anni a cavallo tra V e IV sec. La presenza dell'iscrizione con H per indicare aspirazione, secondo quanto attestato per l'area tarantina, è coerente con la cronologia di fine V sec. attribuita da Trendall. Restano solo due frammenti di orlo, ricomposti, ma inventariati separatamente.",43,591,2,24,22,45,,Saturo,25,26,15,-410,-390,8,"Scavo dell'Acropoli, esterno deposito 1959,Felice Gino Lo Porto,1959"
335,,345077,1028,,01/03/2020,Contursi-345077,"Figura fittile femminile, forse raffigurante divinità. Viso squadrato, occhi rivolti verso l'alto, naso largo, bocca piccola e carnosa, capelli con ciocche ricce acconciate in due bande separate al centro da scriminatura centrale, sui quali poggia un diadema. Si conserva solo la protome.",31,232,2,25,31,186,,,25,26,15,-410,-390,8,"Giardino Marrese,1885"
396,,345221,6057,,10/05/2020,Contursi-345221,"Matrice di statuetta fittile raffigurante una figura femminile di tre quarti. I capelli, portati all'indietro, sono ricci e ricadono sulle spalle. Risulta poggiata a un elemento verticale scanalato",33,254,2,25,34,186,,Contrada Purgatorio,25,26,15,-410,-390,8,1885
494,,345303,212558,,16/01/2020,Contursi-345303,"Frammento di pelike protoitaliota a figure rosse. Della decorazione figurata si conserva unicamente un personaggio femminile con chitone e gioielli rivolto a destra, e parte di una seconda figura femminile.",43,556,2,25,36,108,,Contrada Ausonia,25,26,15,-410,-390,8,1971
511,,345322,51703,,22/09/2020,Contursi-345322,"Frammento di vaso di forma chiusa, forse un'hydria. Sul frammento, nella parte interna a risparmio, è presente la raffigurazione di un volto di profilo, reso in silouette con vernice bruna.",43,517,2,25,38,108,,Contrada Carceri vecchie,25,26,15,-410,-390,8,"Pozzo a S-E della fornace, US 18,1988-1989"
537,,345350,199439,,11/08/2020,Contursi-345350,"Frammento di Cratere a volute apulo, a figure rosse. Si conserva unicamente una parte con decorazione a rosone, il cui centro è forato (interpretato come foro per verificare la cottura).",43,499,2,25,38,108,,Contrada Cortivecchie,25,26,15,-410,-390,8,1988-1989
559,,345351,199436,,09/02/2020,Contursi-345351,"Frammento di Cratere a volute apulo, a figure rosse. Il frammento conservato è decorato con la raffigurazione di due personaggi maschili nudi, ad eccezione di una piccola fascia svolazzante che cinge le braccia della figura in primo piano. Quest'ultimo è di profilo, rivolto a sinistra e tiene tra le mani delle bende; l'altro è rappresentato frontalmente. Sulla spalla del personaggio in primo piano è presente un foro, interpretato come foro per verificare la cottura. Attribuito al Pittore di Sarpedonte.",43,499,2,25,38,108,,Contrada Corvisea o carmine?,25,26,15,-410,-390,8,1988-1989
563,,345380,227227,,18/08/2020,Contursi-345380,"Frammento di cratere a calice apulo a figure rosse. Una figura femminile, retrospiciente, in corsa verso sinistra fugge da un drago, le cui spire sono parzialmente visibili sul lato destro al di là di un arbusto. Ricomposto da due frammenti. Nella parte superiore del vaso è presente un foro che testimonia un antico restauro. Attribuito al Pittore di Sisifo.",43,499,2,25,40,108,Regio Arsenale,Contrada Inchiusa,25,26,15,-410,-390,8,Q. Quagliati1909 - 1913
1585,,348789,20399,,30/03/2020,Contursi-348789,Frammenti di specchio in bronzo con manico configurato a palmetta.,49,763,2,28,95,108,Via Principe Amedeo,,25,26,15,-410,-390,8,"Tomba VIII,27.10.1928"
1591,,348795,52490,,29/02/2020,Contursi-348795,"tazza biansata a vernice nera. Orlo sottile indistinto, vasca a pareti dritte con fondo arrotondato, piede ad anello sagomato, anse a bastoncello orizzontali impostate all'altezza dell'orlo. Presso il piede sottile risega. Frammentaria",43,595,2,28,95,108,Via regina Elena,,25,26,15,-410,-390,8,"Tomba, presso il cranio del defunto.,25.01.1939"
30,,333855,201905,,14/04/2020,Contursi-333855,"Frammento pertinente a modellino fittile di edificio. Il frammento consiste di una falda della copertura a doppio spiovente dell'edificio, composta da cinque file di coppi semicircolari alternati a tegole piatte. Sul lato esterno: sima liscia con cinque gocciolatoi a tubulo, forati. Lacunoso su uno dei lati brevi e in corrispondenza del colmo del tetto.",9,71,2,24,18,161,,,24,25,15,-510,-490,8,
31,,333857,607,,25/03/2020,Contursi-333857,"Statuetta fittile di figura femminile in trono, a mezzotondo. La figura ha il viso ovale, naso piccolo e sottile, occhi a mandorla, gote dipinte in rosso. Capelli resi sulla fronte con banda di colore rosso e trecce ricadenti sulle spalle e fino all'altezza del seno reso con il colore linguette sulla fronte e ricadenti in trecce sulle spalle. Indossa un chitone e un mantello bordato di rosso. Porta una collana di perline resa con vernice rossa. Si conserva solo una mano. Manca la parte inferiore",31,232,2,24,19,161,,,24,25,15,-510,-490,8,"Scavi Montedoro,25 maggio 1890"
58,,333898,207916,,08/04/2020,Contursi-333898,"Statuetta fittile di figura femminile in trono. Il viso è piccolo, triangolare e allungato, gli occhi a mandorla, il naso piccolo e sottile, la bocca atteggiata a sorriso. La capigliatura è compatta, resa con linguette sulla fronte e trecce sottili ricadenti sulle spalle e fino all'altezza dei seni. Indossa un abito con scollo rotondo e sul capo un polos, scheggiato. Siede su un trono, di cui si conserva solo la parte alta. Fratta e lacunosa della parte inferiore.",31,232,2,24,19,104,Passo di Giacobbe,,24,25,15,-510,-490,8,
211,,344951,179375,,26/07/2020,Contursi-344951,"Manico di colino in bronzo, di forma rettangolare, desinente a protome d'oca rivolta verso il basso; l'attacco è a palmette e volute incise. In prossimità dell'attacco è presente un anello di sospensione.",43,490,2,24,25,45,,Saturo,24,25,15,-510,-490,8,"Santuario della Sorgente, Stipe votiva arcaica,Lo Porto,1976"
722,,345494,6766,,09/08/2020,Contursi-345494,Fibula in ferro ad arco semplice con profilo angolato; molla a doppio avvolgimento. Priva di staffa e ardiglione. Ossidata.,1,13,2,27,50,108,Corso Italia,,24,25,15,-510,-490,8,"Località Giardino Fornace, prop. N. Luisi,5582"
973,,348190,34860,,08/11/2020,Contursi-348190,"verga in ferro, dritta. Ossidata",33,282,2,29,75,108,Via Anfiteatro,angolo Regina Elena,24,25,15,-510,-490,8,"Prop. Acclavio, Tomba (interno),17.03.1914"
1146,,348361,51595,,31/05/2020,Contursi-348361,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
1147,,348362,51596,,08/05/2020,Contursi-348362,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
1148,,348363,51597,,03/05/2020,Contursi-348363,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
1149,,348364,51598,,17/01/2020,Contursi-348364,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
1150,,348365,51599,,14/10/2020,Contursi-348365,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
1151,,348366,51600,,19/11/2020,Contursi-348366,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
1152,,348367,51601,,20/08/2020,Contursi-348367,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
1153,,348368,51602,,23/11/2020,Contursi-348368,"Fibula ad arco configurato, in ferro e osso. L'arco è conformato a colomba: testa sporgente, con foro passante per gli occhi; ali rese con incisioni oblique sul dorso, coda con piume separate rese con semplice intaglio. Staffa e ardiglione in ferro di forma rettangolare. Ferro corroso.",1,13,2,29,78,108,Via Dante ang. Via Mezzacapo (att. Via Minniti),,24,25,15,-510,-490,8,"Tomba 24,01.04.1986"
50,,333886,9395,,04/02/2020,Contursi-333886,"Statuetta femminile in terracotta, di cui resta solo la testa. Il viso è ovale e allungato, gli occhi a mandorla, le sopracciglia delineate contigue con il naso, la bocca atteggiata a sorriso. Il viso è incorniciato da una capigliatura a trecce compatta, che scende lungo i lati del viso. Indossa un basso polos. Lacunosa dal collo in giù.",31,232,2,24,19,104,Passo di Giacobbe,,23,24,15,-610,-590,8,
53,,333890,10930,,25/11/2020,Contursi-333890,"Statuetta femminile in terracotta, probabilmente a tutto tondo, di cui resta solo parte del volto. Il viso è ovale e allungato, gli occhi a mandorla fortemente inclinati in obliquo, l'orecchio a capitello con cordolo, le labbra sottili e atteggiate a sorriso. La capigliatura è compatta, resa sulla fronte con riccioli separati al centro da scriminatura centrale e ricadenti, dietro le orecchie, ai lati del viso. Indossa un diadema.",31,232,2,24,19,104,Passo di Giacobbe,,23,24,15,-610,-590,8,
111,,333933,119820,,09/02/2020,Contursi-333933,"Ansa a configurazione antropomorfa. Figura femminile di fattura sommaria, con viso allungato, occhi incisi, arcate sopraccigliari accentuate ed unite alla radice del naso, di forma parallelepipeda. Distinguibili i seni, realizzati con applicazione di argilla e parte delle braccia, che dovevano essere sollevate. La parte inferiore corrisponde all'attacco della vasca del vaso a cui era pertinente.",43,607,2,24,22,45,,Saturo,23,24,15,-610,-590,8,"Scavo dell'Acropoli, deposito 1959,Felice Gino Lo Porto,1959"
159,,333978,187140,,06/11/2020,Contursi-333978,"Testa fittile di figura maschile in terracotta. Viso allungato, fronte larga e bassa, mento prominente, occhi a mandorla con congiuntiva resa a incisione, naso piccolo, bocca piccola e carnosa. Capelli compatti, resi sulla fronte con onde impresse, ricadenti sulle spalle in trecce rese a tratti orizzontali. Si conservano tracce della policromia originaria sui capelli che, nella parte alta e ai lati del viso, risultano colorati in rosso.",31,232,2,24,23,45,,Saturo,23,24,15,-610,-590,8,"Santuario della Sorgente,Lo Porto,1976-1977"
364,,345191,154403,,19/11/2020,Contursi-345191,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
365,,345192,154404,,26/11/2020,Contursi-345192,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
366,,345193,154405,,05/09/2020,Contursi-345193,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
367,,345194,154406,,19/12/2020,Contursi-345194,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
368,,345195,154407,,06/04/2020,Contursi-345195,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
369,,345196,154408,,28/05/2020,Contursi-345196,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
370,,345197,154409,,07/03/2020,Contursi-345197,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
371,,345198,154410,,04/01/2020,Contursi-345198,"Frammento di coppa a filetti. Labbro estroflesso, con filetti sull'orlo. Interno verniciato, ad eccezione di una fascia a risparmio in prossimità dell'orlo.",43,495,2,25,32,186,,Contrada Purgatorio,23,24,15,-610,-590,8,"Abitato arcaico,G. A. Maruggi,1991"
237,,344977,187102,,21/10/2020,Contursi-344977,"Orecchini in oro, frammenti. Parte dell'arco, di forma allungata, costituito con fili lisci intrecciati e avvolti a spirale; Frammento di lamina arrotolata.",4,42,2,24,25,45,,Saturo,26,27,16,-310,-251,8,"Primo Tesoretto,Lo Porto,17-18 giugno 1977"
12,,333837,196471,,01/01/2020,Contursi-333837,"Vaso situliforme acromo. Orlo pendulo a sezione triangolare, internamente sagomato per l'alloggimento di un coperchio. Collo cilindrico con incisioni parallele che creano un motivo decorativo, ansa a presa di forma rettangolare.",43,590,2,24,18,185,Via G. Martino,,25,26,22,-500,-300,8,1987-1988
514,,345327,124043,,12/09/2020,Contursi-345327,"Sostegno/distanziatore di fornace del tipo a coperchio. Corpo di forma troncoconica, rastremato verso l'alto e con carenatura a spigolo acuto in prossimità della base, orlo della base piano. Al centro un foro. Decorato con ampia fascia a vernice nera malcotta in prossimità della carena e fascia più piccola nella porzione centrale. Al di sopra di quest'ultima fascia iscrizione dipinta: ΩΣ. Lacunoso.",65,918,2,25,38,108,,Contrada Carmine,25,26,22,-500,-300,8,1965
515,,345328,124044,,29/05/2020,Contursi-345328,"Sostegno/distanziatore di fornace del tipo a coperchio. Corpo di forma troncoconica, rastremato verso l'alto e con carenatura a spigolo acuto in prossimità della base, orlo della base piano. Al centro un foro. Decorato con ampia fascia a vernice nera in prossimità della carena e fascia più piccola nella porzione centrale. Al di sopra di quest'ultima fascia iscrizione dipinta: ΛΥ. Lacunoso.",65,918,2,25,38,108,,Contrada Carmine,25,26,22,-500,-300,8,1965
516,,345329,124045,,21/11/2020,Contursi-345329,"Sostegno/distanziatore di fornace del tipo a coperchio. Corpo di forma troncoconica, rastremato verso l'alto. Al centro un foro. Decorato con fascia a vernice nera e fascia più piccola nella porzione centrale. Al di sopra di quest'ultima fascia iscrizione dipinta: ΛΥ. Lacunoso.",65,918,2,25,38,108,,Contrada Carmine,25,26,22,-500,-300,8,1965
517,,345330,124046,,08/11/2020,Contursi-345330,"Sostegno/distanziatore di fornace del tipo a coperchio. Corpo di forma troncoconica, rastremato verso l'alto. Al centro un foro. Decorato con fascia a vernice nera e fascia più piccola nella porzione centrale. Al di sopra di quest'ultima fascia iscrizione dipinta: ΛΥ. Lacunoso.",65,918,2,25,38,108,,Contrada Carmine,25,26,22,-500,-300,8,1965
520,,345336,196066,,19/07/2020,Contursi-345336,"Sostegno-distanziatore di fornace. Corpo a calotta, base aggettante, grande foro centrale e due serie di fori circolari sul corpo. Si conserva solo parte del sostegno.",65,918,2,25,38,108,,Contrada Corti vecchie,25,26,22,-500,-300,8,1988
521,,345334,196067,,22/10/2020,Contursi-345334,"Sostegno-distanziatore di fornace. Base aggettante, corpo dal profilo convesso-concavo, fori ovoidali sulla parete. Se ne conserva circa metà",65,918,2,25,38,108,,Contrada Corti vecchie,25,26,22,-500,-300,8,1988
1380,,348583,570,,20/09/2020,Contursi-348583,"Protome fittile di sileno. La testa è frontale e ha naso largo, occhi resi con cordolo superiore e inferiore e sguardo aggrottato, bocca aperta e fitta barba a ciocche ondulate rese con incisioni. Sul capo indossa una benda.",31,232,2,29,80,108,Via Leonida,,25,26,22,-500,-300,8,
562,,345385,12570,,06/05/2020,Contursi-345385,"Cratere a calice apulo a figure rosse di cui si conservano due frammenti ricongiungibili. Decorazione figurata: Eracle con lenoté, Apollo, Ermes e Dioscuri, tutti rivolti a sinistra; a destra: figura femminile con ramo di palma. Attribuito all'officina del Pittore della nascita di Dioniso.",43,499,2,25,40,108,Regio Arsenale,Contrada Inchiusa,26,26,1,-400,-390,8,
