"id_scheda","nctn","inv","suf","l4","l3","piano","sala","vetrina","comune","geonote","scan","dsca","dscd","dtzgi","dtzgf","dtzs","dtsi","dtsf","dtm","materia","tecnica","misa","misl","misp","misd","deso","stcc","stcl","adsp","adsm","cmpd","cmpn","fur","cdgg"
11,333100,49575,,607,43,3,2,1,108,"La Croce. Scavo","La Croce. Scavo","Mariantonia Gorgoglione","1986-88",11,11,14,5600,5200,8,25,"colombino","2.7","5.1","0.8",,"Frammento di vaso di cui si conserva il collo con orlo diritto, labbro appiattito in impasto fine con ingubbiatura camoscio su cui è impostata una protome antropomorfa: una bugna, che rappresenta il naso, reca una linea raggiata in alto con andamento angolare; gli occhi sono resi con punti impressi. Stile Matera-Ostuni",8,3,1,1,2020-08-11,43,39,1
12,333083,49553,,312,35,3,2,1,192,"Masseria Melia. Scavo","Masseria Melia. Scavo","Mariantonia Gorgoglione",2000,11,11,22,6000,5300,8,37,"levigatura",7,"25.4",,,"Macina di forma piano convessa con margine levigato per la presa e base piatta per l'appoggio",1,3,1,1,2020-08-11,43,39,1
13,333084,49554,,281,33,3,2,1,192,"Masseria Melia. Scavo","Masseria Melia. Scavo","Mariantonia Gorgoglione",2000,11,11,22,6000,5300,11,229,"levigatura","5.9","7.4","3.6",,"percussore su ciottolo con scheggiature da percussione su un margine e abrasione appiattita sulla superficie opposta, dovuta anch’essa ad un utilizzo forse come ritoccatore",2,3,1,1,2020-08-11,43,39,1
14,333085,49556,,791,52,3,2,1,192,"Masseria Melia. Scavo","Masseria Melia. Scavo","Mariantonia Gorgoglione",2000,11,11,22,6000,5300,11,238,"scheggiatura","5.9","1.4","0.3",,"lama in selce garganica con margini con sbrecciature da uso (ritocco zero/inframarginale) o pseudoritocco. Vista la regolarità dei margini, paralleli, e il profilo longitudinale rettilineo, non arcuato, è stata con ogni probabilità prodotta a pressione",1,3,1,1,2020-08-11,43,39,1
15,333716,49558,,789,52,3,2,1,192,"Masseria Melia. Scavo","Masseria Melia. Scavo","Mariantonia Gorgoglione",2000,11,11,22,6000,5300,11,238,"scheggiatura","2.1","1.9","0.4",,"grattatoio su frammento mesiale di lama, con ritocco frontale semplice profondo tendente all’erto ad andamento sub-rettilineo e laterale semplice profondo",1,3,1,1,2020-08-11,43,39,1
16,333717,49559,,789,52,3,2,1,192,"Masseria Melia. Scavo","Masseria Melia. Scavo","Mariantonia Gorgoglione",2000,11,11,22,6000,5300,11,238,"scheggiatura","2.7","1.6","0.4",,"grattatoio su porzione prossimale di lama in selce garganica, con ritocco frontale e laterale sinistro semplice profondo ",1,3,1,1,2020-08-11,43,39,1
17,333064,46635,,492,43,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1990,11,11,11,6000,5600,8,25,"colombino","9.5","17.7","1.4",,"Frammento di grande contenitore in impasto grossolano di cui si conserva la parete con ansa a nastro orizzontale decorata a tratti impressi disordinati dipinta in rosso all'interno. Cultura della ceramica impressa",8,3,1,1,2020-08-13,43,39,1
18,333071,47821,,586,43,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1990,11,11,3,5600,5600,8,25,"colombino","7.4","15.5","0.5",,"Frammento di scodella a pareti convesse con orlo diritto, labbro assottigliato, in impasto fine ingubbiata di bruno e decorata a graffito con tratti di linee parallele sia verticali che oblique, motivi a zig zag e X realizzati a microrocker. Stile Matera-Ostuni",6,3,1,1,2020-08-13,43,39,1
19,333070,47777,,492,43,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,8,25,"colombino",13,"9.6","2.6",,"Frammento di grande contenitore in impasto grossolano di cui si conserva la parete con attacco di ansa decorata a incisione con banda angolare campita a reticolo e, all'interno, fila orizzontale di triangoli con vertice posto lateralmente. Cultura della ceramica impressa",8,3,1,1,2020-08-13,43,39,1
20,333072,47885,,607,43,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,8,25,"colombino","7.6","6.2","1.7",,"Frammento di vaso in impasto semifine di cui si conserva l'orlo diritto con labbro arrotondato su cui è protome antropomorfa: una bugna rappresenta il naso, impressioni circolari sottolineati da linea incisa gli occhi, la bocca, semiaperta, è resa con tacca impressa. Cultura della ceramica impressa",8,3,1,1,2020-08-13,43,39,1
21,333068,47477,,794,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","2.4","2.5","1.6",,"nucleo su ciottolo in selce da giacitura secondaria, per una produzione facciale di schegge laminari/lamelle irregolari",1,3,1,1,2020-08-13,43,39,1
22,333059,45473,,794,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","3.2","2.2",1,,"nucleo per la produzione di lamelle, ad un solo piano di percussione; lo sfruttamento, in modalità tornante, è avvenuto per percussione indiretta o, meno  probabilmente, per pressione",1,3,1,1,2020-08-13,43,39,1
23,333067,47472,,789,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","1.5","1.7","0.3",,"grattatoio frontale corto a ritocco semplice profondo elaborato su una scheggia in selce garganica a sezione trapezoidale; tallone faccettato. ",1,3,1,1,2020-08-13,43,39,1
24,333069,47488,,789,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","1.5","1.3","0.6",,"grattatoio frontale corto a ritocco semplice profondo distale con ritocco complementare laterale. Tallone in cortice",1,3,1,1,2020-08-13,43,39,1
25,333060,45572,,791,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","4.1","1.9","0.2",,"lamella larga in selce garganica, a margini divergenti, con ritocco zero/inframarginale (L0), prodotta con probabile percussione indiretta",1,3,1,1,2020-08-13,43,39,1
26,333066,47471,,791,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","2.3","0.6","0.2",,"lamella stretta, a sezione triangolare spessa, con tracce denticolate sul margine destro forse riferibili ad uno pseudoritocco; tallone faccettato",1,3,1,1,2020-08-13,43,39,1
27,333056,45347,,798,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","2.3","1.9","0.6",,"raschiatoio corto, su scheggia intera",1,3,1,1,2020-08-13,43,39,1
28,333055,45337,,800,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","1.7","1.3","0.4",,"denticolato di tipo D1 su scheggia, con un incavo a ritocco inverso nella parte prossimale del supporto",1,3,1,1,2020-08-13,43,39,1
29,333054,45336,,796,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","2.2","1.9","0.6",,"punta elaborata su scheggia, frammentaria, con ritocco denticolato sul margine destro",2,3,1,1,2020-08-13,43,39,1
30,333058,45386,,788,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","1.1","1.1","0.2",,"frammento mesiale di lama in selce garganica, trasformata in uno strumento geometrico, nello specifico un trapezio isoscele ",1,3,1,1,2020-08-13,43,39,1
31,333073,47948,,274,33,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1991,11,11,11,6000,5600,11,186,"levigatura","2.6","5.2","0.8",,"frammento di spoletta da telaio in osso animale, con foro per la sospensione/utilizzo presso l’unica estremità conservata. 2 tacche incise sul bordo destro",8,3,1,1,2020-08-13,43,39,1
32,333057,45367,,792,52,3,2,1,145,"Terragne","Terragne","Mariantonia Gorgoglione",1988,11,11,11,6000,5600,11,238,"scheggiatura","1.5","0.6","0.2",,"raschiatoio lungo (L1), con ritocco semplice marginale, su frammento mesiale di lamella; sembra essersi conservata una superficie naturale probabilmente attribuibile ad un ciottolo",1,3,1,1,2020-08-13,43,39,1
33,333079,49277,,913,65,3,2,1,60,"Masseria Era ","Masseria Era ","Mariantonia Gorgoglione",1991,11,11,22,6000,5300,11,25,"colombino",22,18,9,,"Grande frammento di intonaco di forma quadrangolare con impronta di palo",8,3,1,1,2020-08-13,43,39,1
34,333077,48634,,607,43,3,2,1,60,"Masseria Era. Raccolta di superficie","Masseria Era. Raccolta di superficie","Mariantonia Gorgoglione",1993,11,11,14,5600,5300,8,25,"colombino","9.8","6.5","0.8",,"Frammento di parete di vaso in impasto fine, ingubbiato di bruno, decorato a graffito con fila di losanghe campite a file di microrocker paralleli e motivo solare con raggi realizzati, sempre, a microrocker. Stile Matera-Ostuni",8,3,1,1,2020-08-13,43,39,1
35,333076,48620,,485,43,3,2,1,60,"Masseria Era. Raccolta di superficie","Masseria Era. Raccolta di superficie","Mariantonia Gorgoglione",1993,11,11,22,5600,5300,8,25,"colombino","10.4",10,"0.7",,"Frammento di ciotola emisferica in impasto fine dipinta in bruno all'esterno; all'interno, bande brune oblique pendenti dall'orlo",8,3,1,1,2020-08-13,43,39,1
36,333074,48501,,492,43,3,2,1,60,"Masseria Era. Raccolta di superficie","Masseria Era. Raccolta di superficie","Mariantonia Gorgoglione",1991,11,11,22,6000,5300,8,25,"colombino","26.7",19,2,,"Frammento di grande contenitore in impasto grossolano di cui si conservano la parete, il fondo piatto e, sopra il fondo, l'ansa a nastro orizzontale. E' decorato a impressioni a unghiate disposte in modo regolare sulla parete. Cultura della ceramica impressa",8,3,1,1,2020-08-13,43,39,1
37,333078,48710,,886,64,3,2,1,60,"Masseria Era. Raccolta di superficie","Masseria Era. Raccolta di superficie","Mariantonia Gorgoglione",1991,11,11,22,6000,5300,11,25,"colombino",25,19,"8.5",,"Alare di forma conica con base piatta e superfici levigate",2,3,1,1,2020-08-13,43,39,1
38,333075,48569,,902,64,3,2,1,60,"Masseria Era. Raccolta di superficie","Masseria Era. Raccolta di superficie","Mariantonia Gorgoglione",1991,11,11,22,6000,5300,11,196,"levigatura","6.5","6.5","3.3",,"Macinello di forma grossomodo circolare con margini e facce appiattite. Tracce di sbrecciature sui margini",1,3,1,1,2020-08-13,43,39,1
39,333065,46965,,237,33,3,2,1,60,"Masseria Era. Scavo","Masseria Era. Scavo","Mariantonia Gorgoglione",1991,11,11,22,6000,5300,11,229,"levigatura","4.4","8.5","1.6",,"Accetta in pietra levigata con morfologia trapezoidale a corpo piatto, tagliente convesso, margini retti divergenti, tallone convesso. Tipologia: Tipo A – a corpo piatto",1,3,1,1,2020-08-13,43,39,1
40,333104,49580,"a,b",485,43,3,2,2,108,"Chiesa ed ex Convento di San Domenico. Scavo","Chiesa ed ex Convento di San Domenico. Scavo","Felice Gino Lo Porto",1970,11,11,14,5300,5000,8,25,"colombino","9.5",," 0.4","21.5","Frammento di ciotola in stile Scaloria Alta, in impasto figulino, con orlo diritto, labbro appiattito dipinta in rosso e bruno. All'interno reca festoni e motivi triangolari pendenti dall'orlo, all'esterno è banda campita a fasci di zig zag verticali e motivi a fiamma",10,3,1,1,2020-08-14,43,39,1
41,333102,49578,,607,43,3,2,2,108,"Chiesa ed ex Convento di San Domenico. Scavo","Chiesa ed ex Convento di San Domenico. Scavo","Felice Gino Lo Porto",1970,11,11,14,5300,5000,8,25,"colombino",10,"11.2","0.6",,"Frammento di vaso biconico in stile Scaloria Alta, in impasto fine,dipinto in rosso e bruno: la carena, arrotondata, è sottolineata da banda orizzontale che ingloba, con motivo triangolare, anche una bugna a perforazione orizzontale. Esso è affiancato da motivo a fiamma e fascio di zig zag verticali",8,3,1,1,2020-08-14,43,39,1
42,333103,49579,,485,43,3,2,2,108,"Chiesa ed ex Convento di San Domenico. Scavo","Chiesa ed ex Convento di San Domenico. Scavo","Felice Gino Lo Porto",1970,11,11,14,5300,5000,8,25,"colombino",8,"9.5","0.4",,"Frammento di ciotolina in stile Scaloria Alta con orlo diritto e labbro appiattito sottolineato di rosso. E' dipinta all'interno con bande sia rosse che brune ondulate oblique e pendenti dall'orlo mentre all'esterno con bande verticali e motivi a fiamma in rosso delimitati di bruno. Una delle bande ingloba piccola presa a perforazione orizzontale. ",8,3,1,1,2020-08-14,43,39,1
43,333101,49576,,607,43,3,2,2,108,"Chiesa ed ex Convento di San Domenico. Scavo","Chiesa ed ex Convento di San Domenico. Scavo","Lo Porto/Gorgoglione","1970/90-91",11,11,14,5300,5000,8,25,"colombino",13,"18.5","0.4",,"Frammento di vaso globulare in stile Scaloria Alta. In impasto figulino, è dipinto in rosso e bruno con bande verticali delimitate da fasci di linee e affiancate da bande ondulate; in basso è motivo indefinibile.",10,3,1,1,2020-08-14,43,39,1
44,333081,49519,,607,43,3,2,2,108,"Chiesa ed ex Convento di San Domenico. Scavo","Chiesa ed ex Convento di San Domenico. Scavo","Felice Gino Lo Porto",1970,12,12,11,5000,4500,8,25,"colombino","5.5",11,"0.8",,"Frammento di vaso a collo in stile Serra d'Alto. Si conserva la spalla in impasto fine dipinta in bruno con motivi a S e a uncino",8,3,1,1,2020-08-14,43,39,1
45,333106,49582,,607,43,3,2,2,108,"Ex Convento di San Domenico. Scavo","Ex Convento di San Domenico. Scavo","Mariantonia Gorgoglione",1991,12,12,11,5000,4500,8,25,"colombino","5.8","6.3","0.5",,"Frammento di vaso a collo in stile Serra d'Alto. Si conserva il collo con orlo diritto in impasto figulino dipinto in bruno con banda orizzontale campita con motivo a S a tinta piena e, sotto, motivi angolari",8,3,1,1,2020-08-14,43,39,1
46,333080,49505,,595,43,3,2,2,108,"Chiesa ed ex Convento di San Domenico. Scavo","Chiesa ed ex Convento di San Domenico. Scavo","Lo Porto/Gorgoglione","1970/90-91",12,12,11,5000,4500,8,25,"colombino","11.5","13.5","0.4",,"Frammento di tazza in stile Serra d'Alto. E' in impasto figulino, ha orlo diritto, labbro appiattito, bassa carena a spigolo vivo e fondo piatto. Sotto l'orlo è, dipinta in bruno, banda orizzontale delimitata da bande a tremolo e, all'interno, motivi angolari con alcuni vertici a tinta piena. All'interno, la tazza presenta banda orizzontale campita a tremolo",10,3,1,1,2020-08-14,43,39,1
47,333082,49520,,485,43,3,2,2,108,"Chiesa ed ex Convento di San Domenico. Scavo","Chiesa ed ex Convento di San Domenico. Scavo","Lo Porto/Gorgoglione","1970/90-91",12,12,11,5000,4500,8,25,"colombino","4.8","5.6","0.7",,"Frammento di ciotolina in stile Serra d'Alto. E' in impasto fine e reca, sulla parete, applicazione plastica a S",8,3,1,1,2020-08-14,43,39,1
48,333107,49583,,595,43,3,2,2,108,"Ex Convento di San Domenico. Scavo","Ex Convento di San Domenico. Scavo","Mariantonia Gorgoglione",1991,12,12,11,5000,4500,8,25,"colombino","5.5","4.6","0.5",,"Frammento di probabile tazza di cui si è conservata solo l'ansa verticale a nastro in stile Serra d'Alto. E' in impasto figulino ed è dipinta in bruno con banda verticale campita a banda obliqua a tratteggio alternativamente pieno e vuoto. Applicazione plastica zoomorfa nella parte superiore.",8,3,1,1,2020-08-14,43,39,1
49,333105,49581,,575,43,3,2,2,108,"Ex Convento di San Domenico. Scavo","Ex Convento di San Domenico. Scavo","Mariantonia Gorgoglione",1991,12,12,11,5000,4500,8,25,"colombino","7.5","9.2","0.5",,"Frammento di fiasco in stile Serra d'Alto di cui si conserva il collo cilindrico con orlo diritto e labbro appiattito. E' in impasto figulino e lungo l'orlo sono applicate protomi zoomorfe inglobate in bande semicircolari in bruno pendenti dall'orlo",8,3,1,1,2020-08-14,43,39,1
50,333108,49584,,607,43,3,2,2,108,"Ex Convento di San Domenico. Scavo","Ex Convento di San Domenico. Scavo","Felice Gino Lo Porto",1970,12,12,11,5000,4500,8,25,"colombino","7.9","6.2","0.5",,"Frammento di vasetto a collo in stile Serra d'Alto di cui si conserva il corpo globulare. E' in impasto fine ed è dipinto in bruno con banda campita a triangoli diversamente orientati e bande angolari",8,3,1,1,2020-08-14,43,39,1
51,333061,46215,,586,43,3,2,2,108,"Via Federico Di Palma","Via Federico Di Palma","Quintino Quagliati",1935,12,12,14,4500,4000,8,25,"colombino","4.4",,"0.9","14.5","Frammento di scodellina a pareti troncoconiche con orlo diritto, labbro appiattito e fondo piatto. E' in impasto fine e reca, all'interno, linea orizzontale ondulata lungo l'orlo. Stile Diana",4,3,1,1,2020-08-14,43,39,1
52,333097,49572,,548,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",12,12,14,4500,4300,8,25,"colombino",7,,"0.6",24,"N. 2 frammenti non contigui di olla in impasto semifine di stile Diana: di essa si conservano l'orlo diritto con labbro appiattito e, sulla parete, anse a rocchetto forate e leggermente insellate. Il vaso conteneva murici e cannolicchi, anch'essi in esposizione.",8,3,1,1,2020-08-14,43,39,1
53,333095,49570,,250,33,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione",1994,12,12,14,4500,4000,8,25,"colombino","4.8","10.3",6,,"Frammento di fornello ",8,3,1,1,2020-08-14,43,39,1
54,333109,49585,,607,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",12,12,11,5000,4500,8,25,"colombino",4,,"0.6","5.2","Vasetto globulare in stile Serra d'Alto con colletto troncoconico e orlo con alloggiamento per il coperchio con fori verticali passanti; presa di forma cilindrica, incisa lateralmente con motivo a X e a tratti sul corpo. Mancante del fondo. ",6,3,1,1,2020-08-14,43,39,1
55,333096,49571,,607,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",12,12,14,4500,4300,8,25,"colombino",7,,"0.7","6.1","Vaso miniaturistico in stile Diana in impasto semifine con orlo diritto, labbro appiattito, anse a rocchetto forate e leggermente insellate, fondo piatto. Tracce di ocra all'interno",4,3,1,1,2020-08-14,43,39,1
56,333094,49569,,607,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione",1996,11,11,14,5300,5000,8,25,"colombino","12.5",16,"0.6",,"Frammento di vaso in stile Scaloria Alta. Di esso si conserva la parete con corta ansa a nastro in impasto figulino dipinto in rosso e bruno. Da una banda orizzontale si sviluppa motivo a tinta piena che ingloba l'ansa ed è affiancato da linee verticali parallele. Sotto, motivi a fiamma",8,3,1,1,2020-08-14,43,39,1
57,333090,49565,,586,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",11,11,14,5600,5300,8,25,"colombino","4.4",,"0.5",,"Frammento di scodella a pareti convesse di cui si conserva l'orlo diritto e il labbro assottigliato. E' in impasto figulino ed è dipinta in rosso con banda obliqua e coppia di bande ondulate pendenti dall'orlo. Bande oblique pendenti dall'orlo all'interno Foro di restauro. Stile Passo di Corvo",8,3,1,1,2020-08-14,43,39,1
58,333089,49564,,595,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione",1994,11,11,14,5300,5000,8,25,"colombino","9.6","9.8","0.4",,"Frammento di tazza in stile Scaloria Alta. E' in impasto figulino e di essa si conserva la parete con ansa a nastro. E' dipinta in rosso e bruno con zig zag verticale sull'ansa mentre da banda verticale sotto l'orlo pendono due bande oblique",8,3,1,1,2020-08-14,43,39,1
59,333093,49568,,575,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione",1994,11,11,14,5300,5000,8,25,"colombino","12.2","10.5","0.6",,"Frammento di fiasco in stile Scaloria Alta di cui si conserva il collo cilindrico. E' in impasto figulino e dipinto in rosso e bruno con fascio di linee orizzontali a zig zag, linea ondulata alla base del collo mentre nella parte alta è motivo angolare indefinibile",8,3,1,1,2020-08-14,43,39,1
60,333129,49605,,263,33,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",11,12,22,6000,4000,11,186,"levigatura","6.3","1.1","0.4",,"Punteruolo su osso animale caratterizzato da arrotondamento del corpo e parte distale lasciata larga per impugnatura",1,3,1,1,2020-08-15,43,39,1
61,333128,49604,,43,4,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",11,12,22,6000,4000,11,196,"levigatura",,,"0.7","2.7","pendaglio di forma grossomodo pentagonale a margini irregolarmente arrotondati con grande foro circolare centrale passante",1,3,1,1,2020-08-15,43,39,1
62,333088,49563,,586,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",11,11,14,5500,5000,8,25,"colombino",16,,"0.5",33,"Scodellone troncoconico in stile Scaloria Bassa. Di esso si conservano l'orlo diritto con labbro assottigliato, parte del corpo con presa forata obliqua e il fondo convesso. E' in impasto figulino e trova confronti a Grotta Scaloria e a Grotta dei Cervi.",10,3,1,1,2020-08-15,43,39,1
63,333092,49567,,563,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione",1994,11,11,14,5300,5000,8,25,"colombino","7.4",9,"0.4",,"Frammento di piatto in stile Scaloria Alta. Di esso si conservano l'orlo diritto con labbro appiattito e la parete. E' in impasto fine ed è dipinto in rosso e bruno sia all'esterno che all'interno: all'interno è banda obliqua pendente dall'orlo e delimitata da linea, all'esterno sono bande angolari delimitate da fasci di linee. ",8,3,1,1,2020-08-15,43,39,1
64,333091,49566,,575,43,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-96",11,11,14,5300,5000,8,25,"colombino","7.5","6.5","0.5",,"Frammento di fiasco in stile Scaloria Alta di cui si conserva il collo cilindrico con orlo diritto e labbro appiattito. Sull'orlo è piccola presa a perforazione orizzontale. E' in impasto figulino ed è dipinto in rosso e bruno con banda obliqua e fascio di linee divergenti e pendenti dall'orlo. La banda, delimitata da stretto fascio di linee ingloba la presa",8,3,1,1,2020-08-15,43,39,1
65,333133,49635,,566,43,3,2,2,108,"Punta Rondinella. Nei pressi della Tomba 6","Punta Rondinella. Nei pressi della Tomba 6","Mariantonia Gorgoglione","1992-96",12,12,11,5000,4500,11,25,"colombino",6,"7.8","0.6",,"Frammento di pisside in stile Serra d'Alto. Di essa si conserva la parete con carena arrotondata su cui è bugna a perforazione verticale. E' in impasto semifine ed è decorata con profonda spirale incisa riempita di incrostazione rossa e bianca. Accanto è zig zag verticale mentre sotto l'orlo è linea orizzontale. Foro passante.",8,3,1,1,2020-08-15,43,39,1
66,333116,49592,,791,52,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione",1994,11,12,22,6000,4000,11,185,"scheggiatura","3.2","0.6","0.2",,"lamella intera prodotta, probabilmente, tramite percussione indiretta",1,3,1,1,2020-08-15,43,39,1
67,333117,49593,,791,52,3,2,2,108,"Punta Rondinella. Scavo","Punta Rondinella. Scavo","Mariantonia Gorgoglione","1992-94",11,12,22,6000,4000,11,185,"scheggiatura","3.3","1.1","0.2",,"frammento mesiale di lama in ossidiana, con margini regolari e paralleli, scheggiata a pressione",8,3,1,1,2020-08-15,43,39,1
