id_temp,id_def,nctn,inv,suf,l3,l4,piano,sala,vetrina,comune,via,geonote,scan,dsca,dscd,dtzgi,dtzgf,dtzs,dtsi,dtsf,dtm,materia,tecnica,misa,misl,misd,deso,stcc,stcl,adsp,adsm,cmpd,cmpn,fur,cdgg
16,,333728,7230,null,44,639,2,3,16,108,null,Scoglio del Tonno,Scoglio del Tonno,Quintino Quagliati,1899,22,22,22,-760,-741,8,25,tornio,,,,"kylix a chevrons di produzione corinzia (Geometrico Medio II) con alto labbro e vasca profonda, ansa orizzontale impostata sulla spalla. Labbro decorato a filetti, spalla risparmiata e decorata da serie di chevrons tra tratti verticali chiusi in basso da due filetti, vasca verniciata, ansa risparmiata e decorata con una linea orizzontale. Se ne conserva poco meno della metà senza il piede.",8,3,1,1,2020/07/28,33,39,1
17,,333726,7226,null,44,639,2,3,16,108,null,Scoglio del Tonno,Scoglio del Tonno,Quintino Quagliati,1899,22,23,15,-700,-690,8,25,tornio,,,,"lekythos di produzione corinzia (Protocorinzio Antico) con vasca troncoconica e base piana. Decorata a raggi intorno alla base del collo e filetti sul resto del corpo. Priva del labbro, del collo e dell'ansa.",8,3,1,1,2020/07/28,33,39,1
18,,333725,7151,null,44,639,2,3,16,108,null,Scoglio del Tonno,Scoglio del Tonno,Quintino Quagliati,1899,22,22,9,-725,-701,8,25,tornio,,,,"parete di anfora di produzione corinzia (Tardogeometrico). Decorata a vernice nera opaca in alto con gruppi di sei sigma a tre tratti disposti su due fasce, seguiti da filetti e zona a vernice unita.",8,3,1,1,2020/07/28,33,39,1
19,,333727,7229,null,44,639,2,3,16,108,null,Scoglio del Tonno,Scoglio del Tonno,Quintino Quagliati,1899,22,22,9,-725,-701,8,25,tornio,,,,"kotyle di produzione corinzia (Tardogeometrico) con orlo semplice e vasca profonda. Decorata con filetti all'orlo seguiti da fascia a risparmio con serie di sigma irregolari chiusi in basso da filetti e zona a vernice unita, ansa a risparmio decorata in alto da fitti e corti tratti verticali. Se ne conserva circa metà.",9,3,1,1,2020/07/28,33,39,1
20,,333730,7239,null,44,939,2,3,16,108,null,Scoglio del Tonno,Scoglio del Tonno,Quintino Quagliati,1899,22,22,9,-725,-701,8,25,tornio,10,5.5,26,"piatto di produzione laconica (Tarogeometrico) a parete obliqua molto svasata con orlo lievemente ingrossato. Decorato all'esterno con catena di losanghe seguita da due filetti, catena di punti oblunghi, serie di tre filetti e resti di motivo non letto. Se ne conserva meno di un quarto.",8,3,1,1,2020/07/28,33,39,1
21,,333731,7240,null,44,939,2,3,16,108,null,Scoglio del Tonno,Scoglio del Tonno,Quintino Quagliati,1899,22,22,9,-725,-701,8,25,tornio,7,0.6,25,piatto di produzione laconica (Tarogeometrico) a parete poco inclinata con margine esterno rilevato (non conservato). Decorato con tre filetti seguiti da fascia a risparmio con serie di chevrons e altri tre filetti che chiudono una larga zona campita con serie di losanghe irregolari disposte in verticale. Se ne conserva circa un quarto.,8,3,1,1,2020/07/28,33,39,1
22,,333729,7232,null,44,639,2,3,16,108,null,Scoglio del Tonno,Scoglio del Tonno,Quintino Quagliati,1899,23,23,9,-625,-601,8,25,tornio,,,,kotyle di produzione corinzia (Corinzio Antico) con vasca alta e stretta e piede ad anello. Decorata con denti di lupo a vernice bruna chiusi in alto da filetti. Se ne conserva la metà inferiore.,8,3,1,1,2020/07/28,33,39,1
23,,333772,152582,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,22,5,-751,-700,8,25,modellato a mano,,,,"scodella tardogeometrica messapica con orlo leggermente inflesso e
presa orizzontale apicata. Decorata sull’orlo  all’esterno con fasce e linee orizzontali
e parallele.",8,3,1,1,2020/07/28,33,39,1
24,,333776,152902,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-725,-700,8,25,modellato a mano,,,,parete di olla (o altro vaso aperto) tardogeometrica messapica decorata con due bande e in basso un rombo campito a linee verticali.,8,3,1,1,2020/07/28,33,39,1
25,,333771,152581,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,22,8,-750,-726,8,25,modellato a mano,,,,parete di olla (o altro vaso aperto) tardogeometrica messapica verniciata in alto e decorata con due filetti e sotto fila di triangoli campiti a reticolo. ,8,3,1,1,2020/07/28,33,39,1
26,,333767,152388,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-700,-690,8,25,modellato a mano,,,,"parete di olla (o altro vaso aperto) tardogeometrica messapica. Parte alta della vasca priva dell'orlo. Decorata a sinistra con motivo a quadretti pieni e vuoti, i vuoti riempiti con un puntino, al centro con tremuli, a destra a linee e fasce verticali.",8,3,1,1,2020/07/28,33,39,1
27,,333766,152290,a,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-700,-690,8,25,modellato a mano,,,,parete di olla (o altro vaso aperto) tardogeometrica messapica. Decorata con fascia in alto seguita da irregolare motivo a catena tra un filetto in alto e una fascia in basso.,8,3,1,1,2020/07/28,33,39,1
28,,344914,152290,b,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-700,-690,8,25,modellato a mano,,,,parete di olla (o altro vaso aperto) tardogeometrica messapica. Decorata con rettangoli alternati.,8,3,1,1,2020/07/28,33,39,1
29,,344915,152290,c,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-700,-690,8,25,modellato a mano,,,,"parete di olla (o altro vaso aperto) tardogeometrico messapica. Decorata da linee a tremulo, regolari e sottili, incluse in resti di un riquadro a larghe bande.",8,3,1,1,2020/07/28,33,39,1
30,,333783,154290,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,7,-675,-651,8,25,modellato a mano,,,,parete di olla (o altro vaso aperto) subgeometrica messapica decorata con fascia in alto seguita da motivo a meandro inquadrato da fasci di linee verticali.,8,3,1,1,2020/07/28,33,39,1
31,,333804,154518,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,21,21,22,-825,-801,8,25,modellato a mano,,,,"parete di olla (o altro vaso aperto) del Geometrico Antico messapico decorata con resti di ampi fasci di zig zag verticali e zig zag singoli, più stretti.",8,3,1,1,2020/07/28,33,39,1
33,,333774,152800,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,12,-751,-690,8,25,modellato a mano,,,,ansa di olla decorata tardogeometrica messapica con linee verticali ai lati e linee oblique interne che formano triangoli.,8,3,1,1,2020/07/28,33,39,1
34,,333784,154301,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,12,-751,-690,8,25,modellato a mano,,,,"parete con attacco di ansa di olla tardogeometrica messapica. L'attacco dell'ansa è sottolineato da un cerchio e inquadrato da fasce verticali, sull'ansa resti di motivo quadrangolare doppio.",8,3,1,1,2020/07/28,33,39,1
35,,333768,152377,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,22,-690,-620,8,25,modellato a mano,,,,fondo piano di scodella subgeometrica messapica decorato con cerchio che chiude un motivo a rombi al centro e triangoli ai lati.,8,3,1,1,2020/07/28,33,39,1
36,,333773,152598,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,22,-690,-620,8,25,modellato a mano,,,,fondo piano di scodella subgeometrica messapica decorato con motivo cruciforme incluso in un cerchio.,8,3,1,1,2020/07/28,33,39,1
37,,333769,152379,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,12,-751,-690,8,25,modellato a mano,,,,"fondo piano e parete della vasca di scodella tardogeometrica messapica. La parete è decorata con fasce che chiudono motivo a triangoli con punti centrali alternati, il fondo con cerchi concentrici.",8,3,1,1,2020/07/28,33,39,1
38,,333791,154288,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,12,-751,-690,8,25,modellato a mano,,,,"parete con attacco di ansa di anfora (o altro vaso chiuso) tardogeonetrica messapica. La parete è decorata con fasce (forse un riquadro) in alto e in basso, l'attacco dell'ansa con una fascia oblunga, l'ansa con fasce che inquadrano trattini sottili perpendicolari.",8,3,1,1,2020/07/28,33,39,1
39,,333785,154305,null,44,667,2,3,16,141,null,l'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,12,-751,-690,8,25,modellato a mano,,,,parete di anfora (o altro vaso chiuso) tardogeometrica messapica a decorazione bicroma con rettangoli con motivo a scacchiera inquadrati in altri riquadri.,8,3,1,1,2020/07/28,33,39,1
40,,333807,154847,null,44,639,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-700,-690,8,25,tornio,,,,lekythos conica di produzione corinzia (Protocorinzio Antico) con vasca a tronco di cono rovesciato. Decorata a partire dal basso con corti triangoli ravvicinati chiusi in alto da filetti e zona a vernice. Si conserva circa un quarto della sola vasca.,8,3,1,1,2020/07/29,33,39,1
41,,333805,154549,null,44,639,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-700,-690,8,25,tornio,,,,"cratere di produzione corinzia (Protocorinzio Antico)  con alto labbro rettilineo e vasca globulare. Decorato con guilloche tra filetti sul labbro e motivo a retivolo con punti centrali sul corpo, tra lunghi tratti verticali ai lati e filetti in basso. Se ne corserva una porzione pari a meno di un quarto priva di anse e piede.",8,3,1,1,2020/07/28,33,39,1
42,,333799,154420,null,43,494,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,5.5,8,,coperchio di produzione locale a calotta piatta. Decorato dal margine esterno con filetti seguiti da meandro a scala chiuso da nuovi filetti e serie di tratti irregolari (altro menadro?). Se ne conserva circa un quarto.,8,3,1,1,2020/07/28,33,39,1
43,,333802,154429,null,43,593,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,8,9.7,,"parete di stamnos di produzione locale. Decorato con resti di zona a vernice unita in alto seguita da filetti che inquadrano serie di S, chiuse in basso da una fascia sottile e un motivo a scacchiera. ",8,3,1,1,2020/07/28,33,39,1
44,,333770,152524,null,43,563,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,3.5,5,,vasca di piatto decorata a vernice bruna con serie di filetti interrotti da una fascia a risparmio riempita con tratti verticali che inquadrano motivi a zigzag sfalsati su doppia linea. Se ne conserva meno di un quarto privo del labbro. Dubbia l'attribuzione a fabbriche locali proposta in bibliografia per le caratteristiche di impasto e vernici: possibile altra importazione laconica?,8,3,1,1,2020/07/28,33,39,1
45,,333803,154440,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,8,-650,-626,8,25,tornio,8.7,9,,"deinos di produzione coloniale (forse locale: v. inv. 198088) con labbro piano, ansa a rocchetto finita alle estremità quindi non destinata a reggere l'anello (come dimostra anche la presenza della decorazione: v. n. inv. 196087, e a diifferenza del n. inv. 195430), vasca globulare. Decorato sul piano del labbro con serie di triangoli intervallati da punti, sulla vasca resti della decorazione figurata costituita dal quarto posteriore e dalla coda di un cavallo rivolto a destra, chiuso sul retro da una serie di tratti verticali, e dalle zampe anteriori tra riempitivi circolari con punto centrale, l'ansa è interamente verniciata. Si conservano porzioni molto ridotte di labbro e vasca con ansa. ",8,3,1,1,2020/07/28,33,39,1
46,,333782,154269,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,,,,"kylix con labbro lievemente svasato, vasca bassa e ansa a bastoncello orizzontale. Decorata a filetti sul labbro, vasca interamente verniciata come l'ansa. Se ne conserva circa metà priva del piede.",8,3,1,1,2020/07/28,33,39,1
47,,333796,154417,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,5.8,9.9,,"kylix con labbro svasato, spalla pronunciata e vasca bassa. Labbro decorato a filetti, fascia a risparmio sulla spalla e zona a vernice unita. Se ne conserva circa metà con uno degli attacchi di un'ansa, priva del piede.",8,3,1,1,2020/07/28,33,39,1
48,,333795,154416,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,,,,"kylix con labbro alto e vasca profonda con spalla pronunciata. Labbro decorato a filetti, zona a vernice unita sulla spalla. Si conservano due frammenti.",8,3,1,1,2020/07/29,33,39,1
49,,333797,154418,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,5.8,9.9,,"kylix con labbro basso svasato, spalla pronunciata e vasca bassa. Interamente verniciata con fascia a risparmio sulla spalla. Se ne conserva circa metà priva del piede.",8,3,1,1,2020/07/29,33,39,1
50,,333798,154419,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,6.6,14,,"kylix con labbro basso svasato, spalla pronunciata e vasca bassa. Interamente verniciata. Se ne conserva circa metà priva dell'ansa e del piede.",8,3,1,1,2020/07/29,33,39,1
51,,333794,154415,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,4,-700,-651,8,25,tornio,,,,kylix con labbro alto svasato. Labbro decorato a filetti e vasca verniciata.,8,3,1,1,2020/07/29,33,39,1
52,,333789,154411,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,3,-660,-641,8,25,tornio,,,,kantharos cd. di tipo acheo con alto labbro rettilineo e minima porzione di vasca. Labbro decorato a filetti e vasca verniciata.,8,3,1,1,2020/07/29,33,39,1
53,,333793,154414,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,3,-660,-641,8,25,tornio,,,,kantharos cd. di tipo acheo con alto labbro rettilineo e vasca. Labbro decorato a filetti e vasca verniciata.,8,3,1,1,2020/07/29,33,39,1
54,,333790,154412,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,3,-660,-641,8,25,tornio,,,,"kylix con basso labbro svasato, spalla pronunciata e vasca bassa. Labbro decorato a filetti e vasca verniciata.",8,3,1,1,2020/07/29,33,39,1
55,,333786,154400,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,2,-610,-601,8,25,tornio,,,,"kylix con labbro e vasca a profilo concavo/convesso. Labbro decorato a filetti e vasca con tratti verticali che dovevano limitare una decorazione metopale, non conservata.",8,3,1,1,2020/07/29,33,39,1
56,,333788,154402,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,22,2,-710,-601,8,25,tornio,,,,kylix con labbro verticale e vasca profonda. Decorata a filetti sul labbro e gruppi di tremuli sulla spalla. Siconserva una rodotta porzione di labbro e vasca.,8,3,1,1,2020/07/29,33,39,1
57,,333809,154987,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,3,-660,-641,8,25,tornio,,,,"craterisco con labbro interamente verniciato e resti di tratti verticali in prossimità dell'ansa, a nastro verticale.",8,3,1,1,2020/07/29,33,39,1
58,,333801,154425,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,5,-650,-601,8,25,tornio,4.6,6.5,,"craterisco con alto labbro rettilineo e vasca alta e stretta. Decorazione a onda sul labbro, filetti sulla spalla e zona a vernice unita a seguire.",8,3,1,1,2020/07/29,33,39,1
59,,333808,154927,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,15,-800,-700,8,25,tornio,,,,"pisside con labbro alto e vasca profonda. Labbro e spalla decorati a filetti, subito sotto fitta serie di tratti verticali. Se ne conserva meno di un quarto.",8,3,1,1,2020/07/29,33,39,1
60,,344916,154421,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,23,3,-660,-641,8,25,tornio,4.8,10.6,,"kylix di grandi dimensioni con labbro sottile rettilineo e vasca profonda. Labbro verniciato con orlo a risparmio, filetti e fascia a risparmio sulla spalla decorata con motivo a onda, sotto filetti e zona a vernice unita, ansa verniciata. Conservata in tre frammenti pari a circa un quarto del vaso con attacco di un'ansa e privo del piede.",8,3,1,1,2020/07/29,33,39,1
61,,333787,154401,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,22,22,2,-610,-601,8,25,tornio,,,,kylix con labbro decorato a filetti e tratti verticali sulla vasca. Si conserva una ridotta porzione di labbro e vasca.,8,3,1,1,2020/07/29,33,39,1
62,,333806,154550,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,6,-700,-676,8,25,tornio,,,,"kylix con labbro decorato a filetti, serie di tratti verticali sulla spalla, fascia verniciata e resto della vasca a risparmio. Se ne conservano vari frammenti in parte ricomposti pari a circa metà vaso privo delle anse e del piede.",8,3,1,1,2020/07/29,33,39,1
63,,344917,154427,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,3,-660,-641,8,25,tornio,5.4,4.2,,"stamnos con ansa a nastro orizzontale. Decorato sulla spalla con filetti seguiti da gascia a tremuli e altri filetti chiusi in basso da tratti verticali, sotto l'ansa, verniciata, serie di filetti e zona a vernice unita. Se ne conservano due frammenti non ricomposti di vasca e ansa.",8,3,1,1,2020/07/29,33,39,1
64,,333800,154422,null,44,642,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,3,-660,-641,8,25,tornio,4,5,,"craterisco con ansa a bastancello orizzontale. Parete decorata con serie di tratti verticali tra filetti, ansa verniciata. Si conserva parte dell'ansa e dell'attacco alla parete.",8,3,1,1,2020/07/29,33,39,1
65,,333777,154060,null,45,697,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,22,,,8,25,modellato a mano,,,,fuseruola in impasto biconica con foro passante centrale.,10,3,1,1,2020/07/29,33,39,1
66,,333778,154061,null,45,697,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,22,,,8,25,modellato a mano,,,,"fuseruola in impasto biconica, schiacciata, con foro passante centrale.",10,3,1,1,2020/07/29,33,39,1
67,,333781,154109,null,33,258,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,22,,,8,25,modellato a mano,,,,peso da telaio troncopiramidale con foro passante in alto.,10,3,1,1,2020/07/29,33,39,1
68,,333779,154107,null,33,258,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,22,,,8,25,modellato a mano,,,,peso da telaio troncopiramidale con foro passante in alto.,10,3,1,1,2020/07/29,33,39,1
69,,333780,154108,null,33,258,2,3,16,141,null,L'Amastuola,San Crispiano,Grazia Angela Maruggi,1991,23,23,22,,,8,25,modellato a mano,,,,peso da telaio troncopiramidale con foro passante in alto.,10,3,1,1,2020/07/29,33,39,1
70,,333737,14064,null,44,645,2,3,17,108,via Di Cesare,"Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)","Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)",Luigi Viola,1880,21,22,16,-800,-750,13,25,modellato a mano,17.5,,18,"olla biconica con collo troncoconico con orlo estroflesso, collo distinto e leggermente rigonfio, corpo carenato su fondo piatto e quattro anse a nastro verticali poste dal collo alla spalla. Impasto brunastro.",2,3,1,1,2020/07/29,33,39,1
71,,333738,14065,null,44,645,2,3,17,108,via Di Cesare,"Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)","Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)",Luigi Viola,1880,21,22,16,-800,-750,13,25,modellato a mano,15,,16,"brocca biconica con orlo estroflesso, collo distinto e rigonfio, corpo carenato su fondo piatto e ansa a nastro verticale insellata impostata dal collo alla spalla con due bugne intorno all'attacco inferiore; un'altra bugna isolata, alla stessa altezza, sul lato opposto del vaso. Impasto bruno-grigiastro levigato in superficie.",2,3,1,1,2020/07/30,33,39,1
72,,333739,14067,null,44,645,2,3,17,108,via Di Cesare,"Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)","Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)",Luigi Viola,1880,21,22,16,-800,-750,13,25,modellato a mano,17.3,,15,"brocca biconica con orlo estroflesso con profilo superiore piano, collo distinto e rigonfio, corpo carenato su fondo piatto e ansa a nastro verticale insellata impostata dal collo alla spalla con due bugne intorno all'attacco inferiore; un'altra bugna isolata, alla stessa altezza, sul lato opposto del vaso. Impasto grigiastro ben levigato in superficie.",2,3,1,1,2020/07/30,33,39,1
73,,333742,14085,null,44,645,2,3,17,108,via Di Cesare,"Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)","Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)",Luigi Viola,1880,22,22,3,-760,-741,13,25,modellato a mano,10.5,,11,"boccaletto globulare con orlo inclinato, corpo globulare e ansa a sezione circolare con costolature. Sulla spalla decorazione con gruppi di punti impressi, disposti su tre linee, alternati a spazi vuoti, entro riquadri realizzati con doppie linee incise e chiusi ai lati dell'ansa. Subito sotto, fila di uccelli acquatici stilizzati che si ripetono, in numero di tre e disposti a triangolo, all'attacco dell'ansa sulla spalla. Impasto grigiastro levigato in superficie.",3,3,1,1,2020/07/30,33,39,1
74,,333736,14063,null,44,645,2,3,17,108,via Di Cesare,"Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)","Località Montedoro, incrocio via Di Cesare-via D'Aquino (deposito D'Eredità)",Luigi Viola,1880,22,22,3,-760,-741,13,25,modellato a mano,,,,"tazza carenata (capeduncola) con orlo estroflesso con spigolo interno, spessa ansa circolare a nastro con sopraelevazione a piastra asciforme, due bugne ai lati dell'attacco sulla vasca e un ornato plastico ad angolo ottuso posto alla stessa altezza sull'angolo opposto.",2,3,1,1,2020/07/30,33,39,1
