"id","scheda","cmpd","nctn","inventario","suffisso","titolo","l3","l4","sala","scaffale","cassetta","comune","via","geonote","dtzgi","dtzgf","dtzs","dtsi","dtsf","materia","tecnica","misa","misl","misp","deso","stcc","oss","stima"
1559,,44792,330143,54994,,"Contursi-330143",31,232,3,2,70,108,,,26,26,3,,,25,67,17,14,,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali e foglie al centro e alle tempie, da cui si dipartono due coppie di bende che scendono ai lati del volto e sulle spalle. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa",8,"Nuovo Ospedale, scarico di terrecotte",
1560,,44626,330144,54995,,"Contursi-330144",31,232,3,2,70,108,,,26,26,3,,,25,67,"13.5",10,,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema a cercine con elementi floreali al centro e alle tempie, da cui si dipartono due bende che scendono ai lati del volto e sulle spalle. I capelli, acconciati all'indietro, e la barba sono resi a ciocche ricce incise. Si conserva solo la testa e parte del busto nudo in leggera torsione.",8,"Nuovo Ospedale, scarico di terrecotte",
272,,44819,330340,27112,,"Contursi-330340",31,232,3,3,94,108,"Via Dante",,26,26,4,,,25,67,"7.5","6.5",,"Frammento di figurina fittile femminile. Testa leggermente volta verso l'alto, occhi con palpebre carnose, naso dritto, bocca severa. I capelli sono resi a ciocche mosse rivolte indietro separati da scriminatura centrale. Cfr. tipo AXXXIII Iacobone",8,"Sporadici 12.12.1931",
274,,44637,330342,27114,,"Contursi-330342",31,232,3,3,94,108,"Via Dante",,26,26,4,,,25,67,"5.5","5.8",,"Frammento di figurina fittile femminile. Testa leggermente volta verso l'alto, occhi con palpebre carnose, naso dritto, bocca serrata. I capelli, resi a ciocche mosse rivolte indietro, sono separati da scriminatura centrale, e si avvolgono in due riccioli sulla fronte. Sul capo, himation che scende verso le spalle. Cfr. tipo C4XXV Iacobone",8,"Sporadici 12.12.1931",
275,,44726,330343,27115,,"Contursi-330343",31,232,3,3,94,108,"Via Dante",,26,26,4,,,25,67,8,"6.5",,"Frammento di figurina fittile femminile con fiaccola. Testa leggermente inclinata, occhi infossati, naso dritto, bocca severa. I capelli sono resi con una banda scriminata al centro. Sul capo, polos. Si conserva solo la parte superiore della fiaccola a quattro bracci. Cfr. i tipi AXXX Iacobone",8,"Sporadici 12.12.1931",
773,,44803,329491,52012,,"Contursi-329491",31,232,3,1,3,108,"Piazza Marconi",,26,26,5,,,25,67,,,,"Frammento di figurina fittile femminile, forse parte di un rilievo con recumbente. Il viso regolare è incorniciato da chioma mossa con scriminatura centrale e due orecchini circolari. Indossa chitone e himation che copre una spalla. Priva della parte inferiore e delle braccia.",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
270,,44757,330338,27110,,"Contursi-330338",31,232,3,3,94,108,"Via Dante",,25,25,1,,,25,67,14,"13.5",,"Frammento di rilevo fittile di recumbente. Capo coronato da diadema a globetti. Viso giovane e imberbe, con occhi sporgenti a mandorla e leggero sorriso. Indossa l'himation solo su una spalla. Un braccio è piegato al petto e regge una phiale.",8,"Sporadici 12.12.1931",
20,,44852,329836,20008,,"Contursi-329836",31,232,3,2,38,108,"Via di Palma",,25,25,5,-450,-401,25,67,"17.5",,,"Rilievo fittile di recumbente. Giovane imberbe, col capo avvolto da una benda, capelli resi a ciocche. Himation su una spalla che ricopre anche la parte inferiore del corpo. Volto ovale, palpebre carnose. Manca la parte inferiore.",8,,
269,,44723,330337,27109,,"Contursi-330337",31,232,3,3,94,108,"Via Dante",,25,25,9,,,25,67,6,5,,"Frammento di figurina fittile femminile con polos. Occhi a mandorla, naso dritto, bocca atteggiata a leggero sorriso. I capelli sono resi con linea ondulata scriminata al centro della fronte. Indossa un alto polos svasato. Manca la parte inferiore. Cfr. i tipi AIII Iacobone",8,"Sporadici 12.12.1931",
273,,44802,330341,27113,,"Contursi-330341",31,232,3,3,94,108,"Via Dante",,25,26,16,,,25,67,9,"7.5",,"Frammento di figurina fittile femminile. Testa leggermente volta verso l'alto, occhi con palpebre carnose, naso dritto, bocca serrata. I capelli, resi a ciocche mosse rivolte indietro e separati da scriminatura centrale, sono tenuti da una reticella. Cfr. tipo C4XXV Iacobone",8,"Sporadici 12.12.1931",
277,,44763,330345,27117,,"Contursi-330345",31,232,3,3,94,108,"Via Dante","Scavo sistemazione strada",26,26,2,,,25,67,11,6,,"Statuetta fittile femminile stante avvolta nel mantello. Polos sul capo, capelli che scendono ai lati del viso, mantello sulla parte superiore del busto, trattenuto dalle mani rispettivamente piegate al petto e al ventre. Manca la parte inferiore",8,"Sporadici 12.12.1931",
281,,44579,330349,27121,,"Contursi-330349",31,232,3,3,94,108,"Via Dante",,26,26,22,,,25,67,19,13,,"Frammento di figurina fittile riconducibile al tipo di Artemis Bendis. Si conserva la parte inferiore del corpo con l'estremità del corto chitone che lascia scoperti i polpacci e la pelle ferina appuntata alla vita.",8,"Sporadici 12.12.1931",
282,,44710,330350,27122,,"Contursi-330350",31,232,3,3,94,108,"Via Dante",,26,26,22,,,25,67,24,9,,"Frammento di figurina fittile riconducibile al tipo di Artemis Bendis. Si conserva solo un lato del corpo, con il braccio sinistro avvolto da himation e con arco nella mano, e la gamba, coperta da un corto chitone da cui pende la pelle ferina appuntata alla vita.",8,"Sporadici 12.12.1931",
455,,44580,329484,52002,,"Contursi-329484",31,232,3,1,3,108,"Piazza Marconi",,26,26,3,-361,-340,25,67,"15.3",23,,"Rilievo fittile raffigurante una coppia. Giovane imberbe, col capo coronato da diadema con elementi floreali al centro e alle tempie e corte bende che scendono ai lati delle spalle rivolto veso sinistra, col busto di prospetto. Accanto a lui figura femminile che tiene il mantello. Manca la parte inferiore. Si confronta con il tipo C5XXII Iacobone",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
456,,44837,329485,52004,,"Contursi-329485",31,232,3,1,3,108,"Piazza Marconi",,26,26,3,-361,-340,25,67,"11.5",11,,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema con elementi floreali al centro e alle tempie e corte bende che scendono sulla nuca. I capelli, acconciati all'indietro, e la barba sono resi a ciocche incise. Manca la parte inferiore. Si confronta con il tipo C5XXVII Iacobone",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
457,,44729,329486,52005,,"Contursi-329486",31,232,3,1,3,108,"Piazza Marconi",,26,26,3,-361,-340,25,67,21,16,,"Rilievo fittile di recumbente. Uomo babrato, col capo coronato da diadema con elementi floreali al centro e alle tempie e corte bende che scendono sulla nuca. I capelli, acconciati all'indietro, e la barba sono resi a ciocche incise. Il busto è di prospetto. Manca la parte inferiore. Si confronta con il tipo C5XXIX Iacobone",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
458,,44686,329487,52006,,"Contursi-329487",31,232,3,1,3,108,"Piazza Marconi",,26,26,3,-361,-340,25,67,"18.5",13,,"Rilievo fittile di recumbente. Giovane imberbe, col capo coronato da diadema con elementi floreali al centro e alle tempie e corte bende che scendono sulla nuca. I capelli sono resi a ciocche incise. Il busto è di prospetto. Manca la parte inferiore.",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
459,,44697,329488,52007,,"Contursi-329488",31,232,3,1,3,108,"Piazza Marconi",,26,26,3,-361,-340,25,67,"12.7","11.5",,"Rilievo fittile di recumbente. Giovane imberbe, col capo coronato da diadema con elementi floreali al centro e alle tempie e corte bende che scendono sulla nuca. I capelli sono resi a ciocche incise, labbra e occhi carnosi. Il busto è di prospetto. Nella mano portata al petto regge un uovo. Alle sue spalle un drappo funge da quinta scenografica. Manca la parte inferiore. Si confonta con il tipo C3III Iacobone",8,"Nuovo Ospedale, Proprietà Acclavio. Scarico di terracotta. 14.12.1936",
460,,44784,329494,52018,,"Contursi-329494",31,232,3,1,3,108,"Via Leonida","angolo Via Dante, di fronte al numero 76. Palazzo del Genio Civile",26,26,3,-361,-340,25,67,21,"12.5",,"Rilievo fittile di recumbente. Giovane imberbe, col capo coronato da diadema con elemento vegetale al centro e corte bende che scendono ai lati del viso sulle spalle. Manca la parte inferiore.",8,"Ripostiglio di terrecotte",
271,,44658,330339,27111,,"Contursi-330339",31,232,3,3,94,108,"Via Dante",,26,26,4,,,25,67,8,7,,"Frammento di rilevo fittile di recumbente. Capo coronato da diadema a cercine con benda ed elemento floreale. Barba folta resa in modo sommario, occhi infossati appena rivolti verso l'alto. Cfr. tipo C5XXI Iacobone",8,"Sporadici 12.12.1931",
278,,44715,330346,27118,,"Contursi-330346",31,232,3,3,94,108,"Via Dante","Scavo sistemazione strada",27,27,22,,,25,67,5,4,,"Testa di statuetta fittile maschile. Personaggio con tratti negroidi, naso ampio e camuso, occhi piccoli, bocca larga. Privo della parte inferiore.",8,"Sporadici 12.12.1931",
279,,44626,330347,27119,,"Contursi-330347",31,232,3,3,94,108,"Via Dante","Scavo sistemazione strada",27,27,22,,,25,67,23,9,,"Statuetta fittile femminile avvolta strettamente nel mantello. Acefala. Mantello e chitone fittamente pieghettati. Sotto il mantello le mani sono mani rispettivamente piegate al petto e al ventre. Incede in avanti.",8,"Sporadici 12.12.1931",
280,,44858,330348,27120,,"Contursi-330348",31,232,3,3,94,108,"Via Dante","Scavo sistemazione strada",27,27,22,,,25,67,15,7,,"Statuetta fittile femminile avvolta nel mantello. Priva della parte superiore. Mantello e chitone fittamente pieghettati. Sotto il mantello una mano è al fianco. Base circolare a rocchetto.",8,"Sporadici 12.12.1931",
1375,,44653,330095,50368,,"Contursi-330095",31,232,3,2,65,108,,"Contrada Cortivecchie",25,25,1,,,25,67,22,13,,"Frammento di rilevo fittile di recumbente. Capo coronato da diadema a globetti con rosetta centrale, barba liscia e assottigliata. Il busto è nudo, l'himation copre la parte inferiore del corpo e le gambe, di cui una stesa e l'altra piegata. Un braccio è poggiato sulla gamba flessa mentre l'altro, posato sul cuscino della kline, è portato avanti al petto e con la mano regge una phiale.",8,"Scarico di Terrecotte, 30.04.1934",
1365,,44815,329556,52043,,"Contursi-329556",31,232,3,1,10,108,"Via Crispi 78",,25,25,3,,,25,67,"14.5","7.5",,"Figurina fittile femminile. Volto ovale, labbra serrate e severe, occhi rivolti verso l'alto. Capigliatura a riccioli resi con globetti. Si conserva solo la testa",8,"Proprietà Prusciano, scavo fondazioni. 17.05.1951",
1372,,44586,329839,20013,,"Contursi-329839",31,232,3,2,38,108,"Via Di Palma",,25,25,5,,,25,67,13,10,,"Frammento di figurina fittile di recumbente. Si conserva solo il capo a tutto tondo. Viso ovale, naso dritto, capigliatura a riccioli stilizzati. Sulla testa diadema a cercine e benda sottile.",8,"Proprietà Osimo. Scavi D'Alò Ciro. Ripostiglio terracotte, 28.11.1923",
1381,,44814,329493,52017,,"Contursi-329493",31,232,3,1,3,108,"Via Leonida","Angolo via Dante, di fronte al n. 76",26,26,22,,,25,67,24,16,,"Frammento di rilievo fittile raffigurante apobates. Figura maschile nell'atto di scendere dal cavallo in posizione frontale e a gambe divaricate. Il petto, ben dettagliato,è nudo. L'unico braccio conservato è vicino al muso del cavallo di cui tiene le briglie. Il cavallo è al trotto verso sinistra.",8,"Palazzo del Genio Civile. 06.06.1941",
1380,,44584,329555,52042,,"Contursi-329555",31,232,3,1,10,108,"Via Crispi 78",,26,26,22,,,25,67,16,"10.5",,"Frammento di rilievo fittile. Originariamente doveva essere composto da recumbente, di cui si conserva parte della benda e dalla figura femminile di cui resta solo la parte superiore. La testa, con capelli mossi a scriminatura centrale, è leggermente inclinata su un lato. Indossa un chitone cinto in vita e due lunghi orecchini. Cfr. Tipi C4XXIII-XXVII Iacobone",8,"Proprietà Prusciano, scavo fondazioni. 17.05.1951",
1377,,44840,329842,20023,,"Contursi-329842",31,232,3,2,38,108,"Via Duca di Genova",,26,26,22,,,25,67,"11.5",,,"Frammento di figurina fittile. Testa femminile velata. Viso dall'ovale regolare, naso scheggiato, labbra carnose, mento tondo. I capelli a ciocche mosse sono separati al centro da scriminatura centrale. Ai lobi orecchini con elemento discoidale e pendenti.",8,"Proprietà Cacace",
1370,,44688,329837,20009,,"Contursi-329837",31,232,3,2,38,108,"Via Di Palma",,26,26,3,,,25,67,14,,,"Frammento di figurina fittile di recumbente. Si conserva solo il capo a tutto tondo. Viso incorniciato da capelli mossi resi a incisione, barba folta a ciocche fitte e lunghi baffi. Sulla testa diadema a doppio cercine con rosetta a cinque petali e palmetta.",8,"Proprietà Osimo. Scavi D'Alò Ciro. Ripostiglio terracotte, 28.11.1923",
1373,,44645,329838,20012,,"Contursi-329838",31,232,3,2,38,108,"Via Di Palma",,26,26,3,,,25,67,"14.5",14,,"Frammento di rilievo fittile di recumbente su grifone. Volto giovane e imberbe, con diadema a cercine con rosette laterali e benda che ricade sulle spalle. Indossa l'himation che lascia nudo il torace. Del grifone resta solo la testa.",8,"Proprietà Osimo. Scavi D'Alò Ciro. Ripostiglio terracotte, 28.11.1923",
276,,44747,330344,27116,,"Contursi-330344",31,232,3,3,94,108,"Via Dante",,26,26,4,,,25,67,"13.5","8.2",,"Frammento di figurina fittile femminile stante. Capo coperto dal polos, viso incorniciato da capelli a ciocche mosse rivolte indietro, con scriminatura centrale, le labbra appena dischiuse. Cfr. i tipi AXXVI-XXVII Iacobone.",8,"Sporadici 12.12.1931",
1371,,44624,329834,20003,,"Contursi-329834",31,232,3,2,38,108,"Via Di Palma",,26,26,5,,,25,67,24,17,,"Frammento di figurina fittile di recumbente. Si conserva solo il capo a tutto tondo e parte del busto. Capo leggermente chino su un lato, naso dritto, bocca dischiusa. Viso incorniciato da capelli a ricci e barba resi con molta precisione. Sulla testa resta traccia di una benda. Il torace presenta dettagli anatomici ben definiti.",8,"Proprietà Osimo. Scavi D'Alò Ciro. Ripostiglio terracotte, 28.11.1923",
1019,,44748,330931,27555,,"Contursi-330931",50,771,3,3,105,108,,"Contrada Santa Lucia",30,30,22,,,25,67,"4.8","5.6",,"Lucerna monolicne frammentaria. Serbatoio discoidale, ansa con decorazione a rilievo, molto consunta, raffigurante erote con grandi ali.",8,"Strada nuova Santa Lucia, 18.08.1888",
398,,44833,330096,50378,,"Contursi-330096",31,232,3,3,65,108,,"Contrada Corti Vecchie",26,26,4,,,25,67,"7.5",,,"Frammento di rilievo fittile raffigurante recumbente, di cui resta solo la testa. Viso regolare, incorniciato da ciocche disordinate con scriminatura centrale. Sul capo indossa un diadema a cercine con benda e resti di elementi floreali perduti.",8,,
968,,44724,330483,27269,,"Contursi-330483",31,232,3,3,95,108,"Via Oberdan",,27,28,22,,,25,67,10,,,"Statuetta fittile di erote stante. Testa volta su un lato, le braccia aperte, le ali spiegate. Le gambe, così le braccia e le ali sono mutile.",8,"sparsi fra la terra. 08.07.1933",
969,,44771,330484,27270,,"Contursi-330484",31,232,3,3,95,108,"Via Oberdan",,27,28,22,,,25,67,11,,,"Statuetta fittile di erote stante. Testa volta su un lato, le braccia aperte, le ali spiegate. Le gambe, così le braccia e le ali sono mutile.",8,"sparsi fra la terra. 08.07.1933",
970,,44702,330485,27271,,"Contursi-330485",31,232,3,3,95,108,"Via Oberdan",,27,28,22,,,25,67,9,,,"Statuetta fittile di erote. Testa volta su un lato, le braccia aperte. Frammentario, superficie con incrostazioni",8,"sparsi fra la terra. 08.07.1933",
971,,44630,330486,27272,,"Contursi-330486",31,232,3,3,95,108,"Via Oberdan",,27,28,22,,,25,67,22,,,"Statuetta fittile maschile stante. Si conserva solo la parte inferiore del busto e parte delle gambe",8,"sparsi fra la terra. 08.07.1933",
972,,44797,330487,27274,,"Contursi-330487",31,232,3,3,95,108,"Via Oberdan",,27,28,22,,,25,67,12,"4.6",,"Statuetta fittile di erote. Si conserva solo la testa, volta verso l'alto.",8,"sparsi fra la terra. 08.07.1933",
1071,,44651,330909,27619,,"Contursi-330909",65,918,3,3,104,108,,"Contrada Santa Lucia",28,28,22,,,25,111,"12.5","16.5","6.6","Sostegno di braciere con applicazione figurata: personaggio maschile accovacciato in posizione prona su una zampa ferina. Molto consunto.",8,"Sporadico 21.01.1886",
1070,,44793,330908,27617,,"Contursi-330908",65,918,3,3,104,108,,"Contrada Santa Lucia",27,27,22,,,25,111,"11.8",18,,"Sostegno di braciere con applicazione figurata: volto virile con guance gonfie, lunghi baffi e folta barba, con pileo sul capo.",8,"Sporadico. Giardino Marrese 14.02.1885",
966,,44793,330481,27267,,"Contursi-330481",65,918,3,3,95,108,"Via Oberdan",,27,27,22,,,25,111,13,11,,"Sostegno di braciere con applicazione figurata: volto virile con guance gonfie, lunghi baffi e folta barba, con pileo sul capo.",8,"sparsi fra la terra. 08.07.1933",
1067,,44652,330905,27614,,"Contursi-330905",43,457,3,3,104,108,,"Contrada Santa Lucia",30,30,5,,,272,111,"5.4","5.3",,"Balsamario fitomorfo configurato a pigna tipo Isings 78c. Colore, giallo-bruno, frammentario",8,"Sporadico 02.12.1891",
1020,,44707,330932,27556,,"Contursi-330932",43,495,3,3,105,108,,"Contrada Santa Lucia",30,30,4,,,272,111,9,"4.2",,"Zarte rippenschale. Coppa forma Isings 17 con spalla decorata, corpo tondeggiante e schiacciato con baccellature ricavate a stampo. Color ametista. Lacunoso",8,"Sporadico. 19.09.1889",
1066,,44636,330904,27613,,"Contursi-330904",43,508,3,3,104,108,,"Contrada Santa Lucia",26,26,5,,,25,119,13,"8.4",,"Epichysis a vernice nera. Collo cilindrico distinto, spalla arrotondata, corpo a rocchetto. Catena di palmette impresse sulla spalla, corpo a risparmio. Frammentario",8,"Sporadico 03.10.1885",
1060,,44825,330898,27606,,"Contursi-330898",43,530,3,3,104,108,,"Contrada Santa Lucia",24,24,3,,,25,119,15,,,"Kylix tipo Siana a figure nere. Frammentaria, si conserva solo parte della vasca in corrispondenza di un'ansa. La decorazione esterna si sviluppa su un unico registro e raffigura un cavaliere in corsa con tunica sovraddipinta in bianco da un lato e dall'altro personaggio maschile nudo con clamide sulla spalla e lancia in mano. Interno verniciato in nero ad eccezione del tondo con cigno ad ali spiegate entro fascia baccellata.",8,"Sporadico 06.09.1885",
1061,,44708,330899,27608,,"Contursi-330899",43,547,3,3,104,108,,"Contrada Santa Lucia",26,26,5,,,25,119,"12.3",16,,"Oinochoe trilobata a figure rosse, di cui si conserva solo una parte. Orlo trilobato, breve collo concavo, corpo piriforme, piede ad anello. Entro riquadro metopale definito superiormente da finta baccellatura e inferiormente da fascia a meandro spezzato, figura femminile con himation svolazzante",8,"Sporadico 10.04.1884",
1022,,44647,330934,27558,,"Contursi-330934",43,495,3,3,105,108,,,30,30,,,,25,119,"2.8","0.4",,"Frammento di coppa. Si conserva solo parte del fondo. All'interno bollo circolare",8,"Villa Pepe. 17.07.1888",
1418,,44672,331055,29145,,"Contursi-331055",43,530,3,3,108,108,"Viale Virgilio",,26,27,16,,,25,119,"4.5",13,,"kylix tipo stemless-cup a vernice nera con decorazione sovraddipinta in bianco. Orlo dritto e sottile, vasca emisferica, basso piede, anse a sezione ovoidale impostate sulla vasca e ripiegate. Sovraddipinto in bianco, sul fondo interno della vasca, tralcio di foglie.",8,"Tomba a camera β",
1433,,44562,331072,29160,,"Contursi-331072",43,530,3,3,108,108,"Viale Virgilio",,26,27,16,,,25,119,"4.6",12,,"kylix tipo stemless-cup a vernice nera con decorazione sovraddipinta in bianco. Orlo dritto e sottile, vasca emisferica, basso piede, anse a sezione ovoidale impostate sulla vasca e ripiegate. Sovraddipinto in bianco, sul fondo interno della vasca, tralcio di foglie.",8,"Tomba a camera β",
1412,,44772,331049,29138,,"Contursi-331049",43,591,3,3,108,108,"Viale Virgilio",,26,27,16,,,25,119,"6.5","4.4",,"Cup-skyphos nello stile di Gnathia. Labbro dritto, profonda vasca emisferica, con piede ad anello modanato preceduto da corto stelo cilindrico a risparmio. Decorazione sovraddipinta in bianco, quasi completamente evanida: fascia a onde presso l'orlo, tralcio di vite sulla vasca. Ricomposto da frammenti ma lacunoso.",8,"Tomba a camera β",
