id_temp,scheda,cmpd,nctn,inv,suff,titolo,l3,l4,piano,sala,vetrina,comune,via,dtzgi,dtzgf,dtzs,dtsi,dtsf,dtm,misa,misl,misd,misn,miss,misv,deso,stcc,adsp,adsm,oss
11,,29/09/2022,346981,51111,,Stuani-346981,43,443,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,11,17.3,,3.1,,3,3.2,"Alabastron in gesso tipo Colivicchi I.1.1.1, orlo a disco con imboccatura rilevata, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sul collo, sulla spalla e sulla parte inferiore del corpo. Scheggiato sull'orlo e sul piede, corroso su un lato.",2,1,1,scavo del 1934 Tomba 185
12,,05/03/2022,346983,51113,,Stuani-346983,43,443,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,11,14,,4.7,,,,"Alabastron in gesso tipo Colivicchi I.1.1.1, orlo a disco con imboccatura rilevata, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sul collo, sulla spalla e sulla parte inferiore del corpo. Scheggiato sul piede, corroso.",2,1,1,scavo del 1934 Tomba 185
13,,15/02/2022,346984,51114,,Stuani-346984,43,443,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,11,16.8,,3.2,,3,,"Alabastron in gesso tipo Colivicchi I.1.2, orlo a disco con imboccatura rilevata, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sul collo, sulla spalla e sulla parte inferiore del corpo. Scheggiato sul piede, leggermente corroso.",2,1,1,scavo del 1934 Tomba 185
14,,26/10/2021,346982,51112,,Stuani-346982,43,443,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,11,19.3,,4.7,,,,"Alabastron in gesso tipo Colivicchi I.1.1.1, basso collo cilindrico, corpo cilindrico rastremato con spalla poco pronunciata, piede a disco con tre peduncoli. Due linee incise sul collo, sulla spalla e sulla parte inferiore del corpo. Mancante dell'orlo, piede e corpo corrosi.",3,1,1,scavo del 1934 Tomba 185
15,,31/08/2021,346903,50633,A,Stuani-346903,43,443,1,18, 56A,108,via Gorizia,28,28,4,-200,-151,11,14.5,,,,,,"Alabastron in gesso tipo Colivicchi I.1.2, si conserva solo metà del corpo cilindrico allungato con spalla poco pronunciata e parte del piede a disco. La cavità interna è stretta e profonda. Frammentario, molto corroso.",3,1,1,scavo del 1934 Tomba 85
16,,08/11/2021,346904,50633,A,Stuani-346904,43,443,1,18, 56A,108,via Gorizia,28,28,4,-200,-151,11,12.7,,,,,,"Alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico allungato con spalla poco pronunciata. Frammentario fortemente corroso.",8,1,1,scavo del 1934 Tomba 85
17,,08/08/2022,346905,50633,A,Stuani-346905,43,443,1,18, 56A,108,via Gorizia,28,28,4,-200,-151,11,10.5,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1934 Tomba 85
18,,30/06/2020,346906,50633,A,Stuani-346906,43,443,1,18, 56A,108,via Gorizia,28,28,4,-200,-151,11,9,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1934 Tomba 85
19,,22/04/2022,347622,65165,,Stuani-347622,43,443,1,18, 56B,108,Via Gorizia,28,28,8,-150,-126,11,16.2,,,,3.8,,"Alabastron in gesso tipo Colivicchi I.1, orlo a disco, basso collo cilindrico, corpo cilindrico allungato con spalla poco pronunciata, stretta cavità interna. Due linee incise sull’oro, sul collo e sulla spalla. Mancante del piede e di parte del corpo, scheggiato sull’orlo. ",3,1,1,scavo del 1938 Tomba 2.VI.1938
20,,31/05/2021,347623,65166,,Stuani-347623,43,443,1,18, 56B,108,Via Gorizia,28,28,8,-150,-126,11,15.8,,,,,3.6,"Alabastron in gesso tipo Colivicchi I.1.1.1, corpo cilindrico allungato con spalla poco pronunciata, piede a disco con tre peduncoli, stretta cavità interna. Due linee incise sulla parte inferiore del corpo. Mancante del collo e di parte del corpo, corroso. Ricomposto. ",3,1,1,scavo del 1938 Tomba 2.VI.1938
21,,13/04/2022,346956,50652,A,Stuani-346956,43,443,1,18, 57A,108,Via Gorizia,28,29,15,-125,-90,11,9.5,,,,,,"Alabastron in alabastro tipo Colivicchi II.1.2, con orlo dritto verticale distinto da un disco aggettante, collo cilindrico, corpo fusiforme con fondo piano. Lacunoso sull’orlo. Corroso. ",3,1,1,scavo del 1934 Tomba 86
22,,06/05/2022,346957,50652,A,Stuani-346957,43,443,1,18, 57A,108,Via Gorizia,28,29,15,-125,-90,11,16.2,,,,,,"Alabastron in alabastro tipo Colivicchi II.1.4.1, con orlo dritto verticale distinto da un disco aggettante, collo cilindrico distinto, corpo fusiforme molto allungato terminante a punta. Ricomposto.   ",4,1,1,scavo del 1934 Tomba 86
23,,05/06/2021,346042,12381,,Stuani-346042,43,443,1,18, 59A,108,Contrada S. Lucia,29,30,16,-25,-50,16,12,,,,2.8,4.1,"Alabastron in alabastro tipo Colivicchi II.4.2, con orlo estroflesso assottigliato, collo cilindrico, corpo ovoidale, base piana.",2,1,1,scavo del 1886 
24,,09/06/2020,347092,51593,,Stuani-347092,43,443,1,18, 59A,108,Via Zara,29,30,15,-50,-10,16,3.1,,,,,,"Piccolo alabastron in alabastro tipo Colivicchi II.2.1.3, con orlo arrotondato, collo cilindrico, spalla carenata, corpo ovoidale, due anse verticali piegate ad angolo retto impostate sul collo e sulla carena, fondo con puntale troncoconico.",2,1,1,scavo del 1995 
25,,13/05/2022,347683,200072,,Stuani-347683,43,443,1,19,62,108,Via Regina Elena,29,29,9,-25,-1,11,13.8,,,,2.2,1.1,"Alabastron in alabastro tipo Colivicchi II.3.2, con orlo estroflesso a sezione triangolare, lungo collo cilindrico, corpo ovoidale, basso stelo con piede troncoconico. Ricomposto.   ",4,1,1,scavo del 1914 
26,,19/11/2022,346431,27833,,Stuani-346431,43,443,1,20,64,108,Contrada S. Lucia,29,30,14,-50,-100,11,,,,,,,"Alabastron in vetro con orlo estroflesso superiormente appiattito, corpo fusiforme, decorato da un filamento applicato a caldo che si avvolge a spirale. Colore verde azzurro traslucido, superficie alterata per deterioramento. Mancante del fondo e della parte inferiore del corpo.",3,1,1,scavo del 1885 
27,,30/12/2022,347506,54896,,Stuani-347506,43,443,1,20,66,108,Via G. Oberdan,29,30,16,-10,-50,11,14.6,,,,1.8,0.5,"Alabastron in alabastro tipo Colivicchi II.3.2, con orlo estroflesso a sezione triangolare, collo cilindrico, corpo ovoidale, basso stelo con piede troncoconico.",2,1,1,scavo del 1935 
28,,05/10/2021,347538,60099,,Stuani-347538,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,5.6,,,,1.1,,"Alabastron in alabastro tipo Colivicchi II.2.1.1, con orlo arrotondato, collo cilindrico, spalla carenata, corpo ovoidale, due anse verticali piegate ad angolo retto impostate sul collo e sulla carena, fondo con basso puntale con anello. Ansa integrata.",3,1,1,scavo del 1934 
29,,22/05/2022,347539,60100,,Stuani-347539,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,5.6,,,,1.1,,"Alabastron in alabastro tipo Colivicchi II.2.1.3, con orlo arrotondato, collo cilindrico, spalla carenata, corpo ovoidale, due anse verticali piegate ad angolo retto impostate sul collo e sulla carena, fondo con puntale cilindrico. Orlo, collo e anse integrati.",3,1,1,scavo del 1934 
30,,12/08/2021,347540,60101,,Stuani-347540,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,5.6,,,,,,"Alabastron in alabastro tipo Colivicchi II.2.1.1, con collo cilindrico, spalla carenata, corpo ovoidale, fondo con basso puntale con anello. Mancante del collo e delle due anse.",3,1,1,scavo del 1934 
31,,29/12/2021,347544,60105,,Stuani-347544,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,9.6,,,,1.3,2.5,"Alabastron in alabastro tipo Colivicchi II.2.2.1, con orlo arrotondato, collo cilindrico, spalla carenata, corpo ovoidale allungato, due anse verticali piegate ad angolo retto impostate sul collo e sulla carena, fondo con basso puntale con anello. Anse ed orlo lacunosi ed integrati.",3,1,1,scavo del 1934 
32,,16/11/2021,347541,60102,,Stuani-347541,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,9.5,,,,1.4,,"Alabastron in alabastro tipo Colivicchi II.1.4.2, con orlo dritto verticale distinto da un disco aggettante, collo cilindrico, corpo fusiforme molto allungato terminante a punta.",2,1,1,scavo del 1934 
33,,06/07/2020,347542,60103,,Stuani-347542,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,5.7,,,,,0.5,"Alabastron in alabastro tipo Colivicchi II.3.2, con collo cilindrico, corpo ovoidale, basso stelo con piede troncoconico. Mancante dell'orlo, scheggiato sul piede.",3,1,1,scavo del 1934 
34,,20/05/2020,347543,60104,,Stuani-347543,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,4.7,,,,,,"Alabastron in alabastro tipo Colivicchi II.3.2, con collo cilindrico, corpo ovoidale, basso stelo. Mancante dell'orlo, di parte del collo e del piede.",3,1,1,scavo del 1934 
35,,28/12/2022,347545,60106,,Stuani-347545,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,7,,,,,,"Alabastron in alabastro tipo Colivicchi II.3.2, con orlo a sezione triangolare, collo cilindrico, corpo ovoidale. Mancante dello stelo e del piede. Corpo lacunoso. Integrato.",3,1,1,scavo del 1934 
36,,19/02/2022,347546,60107,,Stuani-347546,43,443,1,20,67,108,Via F. Crispi,29,29,5,-50,-1,11,4,,,,,,"Alabastron in alabastro tipo Colivicchi II.3.2, con collo cilindrico e corpo ovoidale. Mancante dell’orlo, di parte del collo e del fondo. Ricomposto. Integrato.",3,1,1,scavo del 1934 
37,,19/11/2020,345980,7875,,Stuani-345980,43,443,1,15,46,108,Contrada S. Lucia,29,30,15,-25,-25,16,20.5,,,,3,,"Alabastron in alabastro tipo Colivicchi II.3.2, con orlo estroflesso a sezione triangolare, lungo collo cilindrico, corpo ovoidale. Mancante del piede e dello stelo.   ",3,1,1,scavo del 1885 
38,,11/01/2022,345983,12042,,Stuani-345983,43,443,1,15,46,108,Contrada S. Lucia,30,30,22,-1,-100,16,8.8,,,,,,"Alabastron in avorio, con orlo dritto verticale distinto da un disco aggettante, basso collo cilindrico, corpo cilindrico allungato rastremato verso l’alto, basso stelo con piede a disco. Scheggiato sull’orlo. Superficie consunta.",2,1,1,scavo del 1885 
39,,24/02/2021,346041,12378,,Stuani-346041,43,443,1,15,46,108,Contrada S. Lucia,29,30,16,-10,-50,11,13.7,,,,2.6,,"Alabastron in alabastro tipo Colivicchi II.2.2.2, con orlo arrotondato, collo cilindrico, spalla carenata, corpo ovoidale allungato, due anse verticali piegate ad angolo retto impostate sul collo e sulla carena, fondo con basso puntale cilindrico. Scheggiato sull’orlo e sul puntale.",2,1,1,scavo del 1885 
40,,13/04/2020,346079,12496,,Stuani-346079,43,443,1,15,46,108,Contrada S. Lucia,29,30,16,-1,-50,11,,,,,1.2,,"Parte superiore di alabastron in alabastro tipo Colivicchi II.1.5, con orlo indistinto, lungo collo cilindrico con rigonfiamento in corrispondenza del disco, la parte terminale del collo è arretrata rispetto alla parete per l’incastro nel corpo. Il corpo dell'alabastron, non esposto, a numero di inventario 12504.",2,1,1,scavo del 1885 
41,,14/11/2020,347400,51825,,Stuani-347400,43,443,1,15,46,108,Regio Arsenale,30,30,4,-1,-50,11,4.5,,,,2.2,2.6,"Alabastron in alabastro tipo Colivicchi II.4.1, con orlo estroflesso assottigliato, basso collo cilindrico, corpo piriforme schiacciato, base piana.",2,1,1,scavo del 1896 
42,,26/06/2022,347412,51980,,Stuani-347412,43,443,1,15,46,108,Piazza D'Armi,30,30,22,-1,-100,11,,,,,,,"Alabastron in vetro, con orlo estroflesso tagliato, breve collo cilindrico, corpo fusiforme allungato terminante a punta. Vetro incolore, superficie alterata per deterioramento.",2,1,1,scavo del 1901 
43,,02/08/2020,347581,64045,,Stuani-347581,43,443,1,15,46,108,Via G. Oberdan - angolo via Gorizia,30,30,3,-41,-60,11,6,,,,1.7,1.7,"Alabastron in alabastro tipo Colivicchi II.4.1, con orlo estroflesso assottigliato, basso collo cilindrico, corpo ovoidale, base piana.",2,1,1,scavo del 1937 
44,,16/08/2022,347582,64046,,Stuani-347582,43,443,1,15,46,108,Via G. Oberdan - angolo via Gorizia,30,30,3,-41,-60,11,4.8,,,,2,1.9,"Alabastron in alabastro tipo Colivicchi II.4.1, con orlo estroflesso assottigliato, basso collo cilindrico, corpo piriforme schiacciato, base piana.",2,1,1,scavo del 1937 
45,,10/12/2021,347583,64047,,Stuani-347583,43,443,1,15,46,108,Via G. Oberdan - angolo via Gorizia,30,30,3,-41,-60,11,10,,,,2.4,2.5,"Alabastron in alabastro tipo Colivicchi II.4.2, con orlo estroflesso assottigliato, lungo collo cilindrico, corpo ovoidale allungato, base piana. ",2,1,1,scavo del 1937 
46,,08/05/2021,346296,24582,,Stuani-346296,43,443,1,15,49,108,Contrada Corvisea,27,28,15,-225,-276,11,25.1,,,,,,"Alabastron tipo Graepler 612/3, orlo a disco, basso collo cilindrico, corpo fusiforme allungato con spalla distinta, piccolo piede a calice esternamente modanato. Decorato con due ampie fasce orizzontali di colore nerastro, posizionate una sotto la spalla e l’altra a metà del corpo.",2,1,1,scavo del 1930 
47,,11/04/2022,347612,64123,,Stuani-347612,43,443,1,15,50,108,Contrada Madre Grazia,28,28,6,-200,-176,11,,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1937 
48,,09/01/2020,347613,64123,,Stuani-347613,43,443,1,15,50,108,Contrada Madre Grazia,28,28,6,-200,-176,11,,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1937 
49,,02/07/2022,347614,64123,,Stuani-347614,43,443,1,15,50,108,Contrada Madre Grazia,28,28,6,-200,-176,11,,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1937 
50,,03/06/2021,347615,64123,,Stuani-347615,43,443,1,15,50,108,Contrada Madre Grazia,28,28,6,-200,-176,11,,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1937 
51,,27/05/2021,347616,64123,,Stuani-347616,43,443,1,15,50,108,Contrada Madre Grazia,28,28,6,-200,-176,11,,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1937 
52,,19/07/2021,347617,64123,,Stuani-347617,43,443,1,15,50,108,Contrada Madre Grazia,28,28,6,-200,-176,11,,,,,,,"Frammento alabastron in gesso tipo Colivicchi I.1, si conserva solo parte del corpo cilindrico. Superficie fortemente corrosa.",8,1,1,scavo del 1937 
53,,22/04/2021,345963,7845,,Stuani-345963,43,443,1,15,52,108,Via F. Crispi,28,29,15,-125,-51,11,,,,,,,"Alabastron in alabastro tipo Colivicchi II.1.4.1, collo cilindrico distinto, corpo fusiforme molto allungato terminante a punta. Mancante dell’orlo e del fondo.",3,1,1,scavo del 1919 
54,,20/05/2020,345964,7846,,Stuani-345964,43,443,1,15,52,108,Via F. Crispi,28,29,15,-125,-51,11,,,,,,,"Alabastron in alabastro tipo Colivicchi II.1.4.1, con orlo dritto verticale distinto da un disco aggettante, collo cilindrico distinto, corpo fusiforme terminante a punta. Mancante del fondo.   ",3,1,1,scavo del 1919 
55,,22/10/2021,345973,7851,,Stuani-345973,43,443,1,15,52,108,Via F. Crispi,28,29,15,-125,-51,11,,,,,,,"Frammento di alabastron in alabastro tipo Colivicchi II.1.4.1, con orlo dritto verticale distinto da un disco aggettante, collo cilindrico distinto. Scheggiato.",8,1,1,scavo del 1919 
56,,28/04/2020,345974,7851,,Stuani-345974,43,443,1,15,52,108,Via F. Crispi,28,29,15,-125,-51,11,,,,,,,"Frammento di alabastron in alabastro tipo Colivicchi II.1.4.2, con orlo dritto verticale distinto da un disco aggettante, collo cilindrico, corpo fusiforme allungato. ",8,1,1,scavo del 1919 
57,,04/04/2022,345975,7851,,Stuani-345975,43,443,1,15,52,108,Via F. Crispi,28,29,15,-125,-51,11,,,,,,,Fondo di alabastron in alabastro terminante a punta tipo Colivicchi II.1.4.1-2.,8,1,1,scavo del 1919 
58,,02/05/2022,346002,12279,,Stuani-346002,4,28,1,18, 54A,108,Via Duca degli Abruzzi,28,28,4,-200,-151,11,,,2,,,,Anello con verga a sezione circolare. Superficie corrosa.,2,1,1,scavo del 1909 Tomba 2
59,,04/03/2020,346784,40886,,Stuani-346784,41,428,1,18,fuori vetrina,108,Piazza D'Armi,28,29,15,-125,-51,16,,2.5,,8.5,,,"Punta di freccia in ferro, gambo a sezione circolare, codoli triangolari. Ossidata. Un codolo lacunoso.",3,1,1,scavo del 1911 Tomba IX
60,,20/11/2022,346785,40887,,Stuani-346785,41,428,1,18,fuori vetrina,108,Piazza D'Armi,28,29,15,-125,-51,16,,2.6,,7.6,,,"Punta di freccia in ferro, gambo a sezione circolare, codoli triangolari. Ossidata. Codoli lacunosi.",3,1,1,scavo del 1911 Tomba IX
61,,29/11/2022,346786,40888,,Stuani-346786,41,428,1,18,fuori vetrina,108,Piazza D'Armi,28,29,15,-125,-51,16,,2.7,,8,,,"Punta di freccia in ferro, gambo a sezione circolare, codoli triangolari. Ossidata. Punta e codoli lacunosi. 
",3,1,1,scavo del 1911 Tomba IX
62,,06/07/2022,346344,25649,,Stuani-346344,46,713,1,15,51,108,Via Leonida,28,28,6,-200,-176,16,,,,,,,"Elemento in ferro interpretato come chiave, fusto con verga a sezione quadrangolare terminante ad anello, concrezionata con un altro elemento non meglio identificabile. Ossidati, superficie fortemente corrosa. ",2,1,1,scavo del 1926 
63,,26/11/2020,346393,27658,,Stuani-346393,49,758,1,18, 59A,108,Contrada S. Lucia,29,30,16,-25,-50,16,,5.2,,11,,,"Pettine in osso tipo Vaulina - Wasowicz C1, con lati a profilo convesso, doppia serie di denti, più radi da una parte e più fitti dall’altra. Mancante dei denti. Ricomposto.",3,1,1,scavo del 1886 
64,,21/11/2021,347507,54897,,Stuani-347507,49,758,1,20,66,108,Via G. Oberdan,29,30,16,-10,-50,16,,6,,9.7,,,"Pettine in osso tipo Vaulina - Wasowicz C1, con un lato a profilo rettilineo e l'altro convesso, doppia serie di denti, più radi da una parte e più fitti dall’altra. Mancante di parte dei denti.",3,1,1,scavo del 1935 
65,,20/10/2020,346419,27747,,Stuani-346419,49,758,1,20,67,108,Contrada S. Lucia - Villa Pepe,30,30,4,-1,-50,16,,,,,,,"Pettine in osso tipo Vaulina - Wasowicz C1, con lati a profilo convesso e doppia serie di denti, più radi da una parte e più fitti dall’altra. Mancante dei denti. ",3,1,1,scavo del 1885 
66,,06/11/2021,347778,212496,,Stuani-347778,46,706,1,18,53,108,Piazza D'Armi,28,28,,-200,-101,16,1.9,1.8,,,,,"Applique in argento, sottile lamina quadrangolare, decorata con una maschera silenica a stampo, foro circolare in corrispondenza della bocca. Piccola lacuna nella superficie sottostante la bocca.",3,1,1,scavo del 1911 Tomba IV
67,,23/02/2021,346125,14554,,Stuani-346125,46,704,1,18,53,108,Piazza D'Armi,29,29,8,-50,-26,16,,,12.2,,,,"Anello di sospensione per strigile, verga in ferro a sezione schiacciata. Sulla superficie sono visibili resti di tessuto a trama fitta. Ossidato. Ricomposto.",4,1,1,scavo del 1911 Tomba I
68,,21/09/2022,346132,14557,,Stuani-346132,46,704,1,18,53,108,Piazza D'Armi,29,29,8,-50,-26,16,,,10.7,,,,"Anello di sospensione per strigile in ferro, verga a sezione circolare con sviluppo interrotto, appiattita nella parte opposta alla cesura per l'aggancio degli strigili. Ossidato. Ricomposto.",4,1,1,scavo del 1911 Tomba I
69,,10/08/2020,346129,14555,,Stuani-346129,46,704,1,18,53,108,Piazza D'Armi,29,29,8,-50,-26,16,,,9.5,,,,"Anello di sospensione per strigile in bronzo, verga a sezione circolare con sviluppo interrotto, estremità appiattite e ripiegate per l'aggancio. Lesionato.",2,1,1,scavo del 1911 Tomba I
70,,06/10/2021,347010,51140,A,Stuani-347010,46,704,1,18, 54B,108,Contrada Corvisea,28,28,8,-150,-126,16,,,11,,,,"Anello di sospensione per strigile, verga in ferro a sezione circolare con estremità rastremate. Ossidato. Lacunoso.",8,1,1,scavo del 1934 Tomba 185
71,,15/12/2021,347001,51131,,Stuani-347001,43,447,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,11,19.9,,,,8.8,8.5,"Anfora tipo Hempel 312/4a, orlo estroflesso a sezione triangolare, basso collo, corpo globulare, anse verticali a nastro impostate sul collo e sulla spalla, fondo con basso piede ad anello. ",2,1,1,scavo del 1934 Tomba 185
72,,03/02/2020,346061,12457,,Stuani-346061,49,758,1,15,46,108,,30,31,22,1,200,11,,,,11.3,,,"Pettine in avorio tipo Vaulina - Wasowicz C1, con lati a profilo convesso e doppia serie di denti, più radi da una parte e più fitti dall’altra. Mancante di parte dei denti.",3,1,1,
73,,27/04/2022,345976,7852,,Stuani-345976,49,758,1,15,52,108,Via F. Crispi,28,29,15,-125,-51,16,,,,,,,"Frammento di pettine in osso, si conserva un lato a profilo convesso e alcuni denti radi.",8,1,1,scavo del 1919 
74,,21/09/2020,346401,27664,,Stuani-346401,49,759,1,18, 59A,108,Contrada S. Lucia,29,30,16,-25,-50,16,,1,,7.5,,,"Pinzetta in bronzo, della quale si conserva una solo barra a nastro a sezione rettangolare, ispessita verso l’impugnatura. Mancante di una barra. Molto ossidata.",8,1,1,scavo del 1886 
75,,31/08/2020,347024,51142,,Stuani-347024,46,704,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,16,,,14,,,,"Anello di sospensione per strigile, verga  in bronzo a sezione circolare con fermaglio a protome di levriero o di lince, sotto il quale si innesta un gancio. Ossidato.",2,1,1,scavo del 1934 Tomba 185
76,,11/04/2022,346677,40219,,Stuani-346677,49,762,1,18, 54B,108,Contrada Corvisea,28,28,8,-150,-126,16,,,,,,,"Spathomele in piombo con verga tortile, appiattita ad una estremità. Verga contorta, superficie ossidata.",8,1,1,scavo del 1934 Tomba 185
77,,03/02/2021,346965,50655,,Stuani-346965,49,762,1,18, 57A,108,via Gorizia,28,29,15,-125,-90,16,,1.3,,13,,,"Spathomele in bronzo con verga tortile terminante a punta, spatola appiattita di forma troncoconica. Superficie ossidata.",2,1,1,scavo del 1934 Tomba 86
78,,02/11/2021,347025,51143,,Stuani-347025,46,704,1,18, 55B,108,Contrada Corvisea,28,28,8,-150,-126,16,,,8,,,,"Anello di sospensione per strigile, verga in bronzo a sezione circolare con estremità desinenti in ganci a punta sferica. Ossidato. ",2,1,1,scavo del 1934 Tomba 185
