id,scheda,cmpd,nctn,inventario,suffisso,titolo,l3,l4,piano,sala,contenitore,comune,via,geonote,dtzgi,dtzgf,dtzs,dtsi,dtsf,dtm,materia,tecnica,misa,misl,mislu,misp,misd,deso,stcc,oss
489,,22/06/19,350210,64621,,Speira-350210,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,10,5.5,,,,"frammento di rilievo policromo rappresentante Polyboia stante su un podio, con chitone lungo e peplo sulle spalle dalla quale fuoriescono i capelli e la corona di foglie di edera. Il braccio destro è leggermente piegato lungo fianco con la mano poggiante sul fianco; la mano sinistra è sollevata all'altezza del petto e regge una pisside. La testa è frontale, i capelli sono sciolti e ricadono sulle spalle. Integra solo la testa con parte del busto",8,scavo del 1950 
510,,22/02/02,350231,63825,,Speira-350231,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,10.5,5.8,,,,"frammento di rilievo policromo rappresentante Polyboia stante, con chitone lungo e peplo sulle spalle dalla quale fuoriescono i capelli e la corona di foglie di edera. Il braccio destro è leggermente piegato lungo il fianco, la mano sinistra è sollevata all'altezza del fianco e regge una patera. La testa è inclinata verso sinistra. Sulla superficie tracce di scialbatura e di colore rosa. Lacunoso della metà inferiore e di parte del lato sinistro; superficie abrasa; policromia evanida.",8,scavo del 1950 
490,,22/02/12,350211,64632,,Speira-350211,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,13,8,,,,"frammento di rilievo policromo rappresentante Polyboia stante su un podio, con chitone lungo e peplo sulle spalle dalla quale fuoriescono i capelli e la corona di foglie di edera. è gravitante sulla gamba sinistra, mentre la destra è flessa; Il braccio destro è lacunoso; la mano sinistra è sollevata all'altezza del petto e regge una cornucopia. La testa è leggermente sollevata e frontale, i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura. Integra la testa e parte del busto ad eccezione dell'avambraccio destro",8,scavo del 1950 
445,,22/03/19,350166,20065,,Speira-350166,44,615,1,9,28,108,Via F. Crispi,,26,27,,,,13,25,matrice,13.5,,,,,"terracotta policroma rappresentante un nano dal viso camuso, in movimento verso destra, vestito di corta tunica che lascia scoperta la spalla, con grossa testa cinta da una corona. Privo del braccio destro, della mano sinistra e della base; policromia evanida.",8,scavo del 1930 
83,,22/06/03,349052,54801,,Speira-349052,4,44,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,2.2,,,,,"Frammento di pendente in terracotta dorata raffigurante una figura femminile stante, quasi certamente una Nike, vestita di lungo chitone con ampio apoptygma, in atto di volare verso il basso. La testa è leggermente chinata verso sinitra, mentre il braccio sinistro è sollevato. Del frammento rimane solo la testa e parte del braccio e dell'ala sinistra. Doratura quasi del tutto caduta. La Nike, come l'esemplare n. 54800, doveva essere associato ad una rosetta a formare il pendente di un orecchino.",8,scavo del 1939 Tomba 1
456,,22/07/07,350177,4112,,Speira-350177,9,71,1,9,29,108,,"Contrada Solito, Masseria Tesoro",26,26,,-400,-301,13,25,matrice,35.5,28.5,,,,"tabella fittile votiva a forma di naiskos con frontone poggiante su due pilastri. All'interno, in posizione centrale, sono raffigurati i Dioscuri (Castore e Polluce) stanti in posizione frontale con clamide sulle spalle. Entrambi reggono una palma verso l'esterno e phiale mosonphalos baccellata. Tra le due figure, al centro, è collocato un altare e dietro un pilastro con due anfore. In alto vi sono due fori di sospensione. Ricomposto da frammenti e reintegrato in buona parte",8,scavo del 1914 
455,,22/01/09,350176,4109,,Speira-350176,9,71,1,9,29,108,,"Contrada Solito, Masseria Tesoro",26,26,,-400,-301,13,25,matrice,43,30,,,,"tabella fittile votiva a forma di naiskos (tempietto) su alta base. All'interno i Dioscuri (Castore e Polluce) sono appoggiati con il gomito a un pilastro su cui è un vaso; con una mano tengono la palma, con l'altra la patera ombelicata.. Hanno un mantello abbottonato sul petto, che scivola all'indietro sulle spalle, e una benda e una corona sul capo. Ricomposto da frammenti e reintegrato in buona parte",8,scavo del 1914 
383,,22/10/04,350103,126268,,Speira-350103,44,615,1,9,26,108,Via Friuli 9,,27,27,,-300,-201,13,25,matrice,,,,,,Terracotta policroma rappresenta una figura femminile stante con chitone e himation. Composizione non leggibile; molto frammentaria; lacunosa della testa e di parte del corpo. In parte restaurata.,8,scavo del 1966 Tomba n. 3
543,,22/01/30,350774,54804,,Speira-350774,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,,4.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una rosetta a cinque petali. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
544,,22/01/18,350775,54805,,Speira-350775,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,,4.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una rosetta a cinque petali. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
545,,22/08/13,350776,54806,,Speira-350776,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,,4.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una rosetta a cinque petali. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
546,,22/02/16,350777,54807,,Speira-350777,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,,4.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una rosetta a cinque petali. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
547,,22/05/09,350778,54808,,Speira-350778,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,,4.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una rosetta a cinque petali. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
548,,22/03/10,350779,54809,,Speira-350779,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,,4.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una rosetta a cinque petali. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
549,,22/01/08,350780,54810,,Speira-350780,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,,4.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una rosetta a cinque petali. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
539,,22/04/26,350770,54795,,Speira-350770,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,6,10.3,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta un grifo alato incedente verso destra. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
537,,22/08/30,350768,54799,,Speira-350768,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,6.5,10.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta una gazzella rivolta verso destra e caduta sulle zampe anteriori. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
540,,22/05/11,350771,54796,,Speira-350771,46,706,1,9,22,108,via Nettuno,,26,27,15,-310,-290,13,25,matrice,6.4,12.5,,,,Appliques in terracotta dorata utilizzate per decorare letti funebri. Rappresenta un grifo alato incedente verso sinistra. Doratura mal conservata. Manca dalla vetrina per restauro.,8,scavo del 1939 Tomba 1
317,,22/06/11,350037,52580,,Speira-350037,30,221,1,9,24,108,via degli Angioini,,26,26,,-330,-301,13,25,matrice,2,,,,6.8,"oscillum in terracotta di forma discoidale. Munito di due fori di sospensione; al centro, una rosetta incisa.",2,scavo del 1934 
318,,22/02/14,350038,52581,,Speira-350038,30,221,1,9,24,108,via degli Angioini,,26,26,,-330,-301,13,25,matrice,2,,,,6.8,"oscillum in terracotta di forma discoidale. Munito di due fori di sospensione; al centro, una rosetta incisa. Lungo il bordona, una lacuna e una scheggiatura.",2,scavo del 1934 
144,,22/03/16,349836,54352,,Speira-349836,43,555,1,8,20,222,,Egnazia,27,27,1,-300,-290,13,25,matrice,3.5,,,,17.2,pateramesomphalos (ombelicata) con orlo estroflesso scandito da 12 protuberanze; all'interno dodici incavi ovoidali sottolineati da una solcatura impressa e disposti concentricamente intorno all'umbone centrale. La parte interna è ottenuta a matrice; la parte esterna è lavorata a mano. Sulla superficie visibili tracce dell'originaria ingubbiatura che rivestiva uniformemente la superficie interna. Ingubbiatura scrostrata in più punti,2,scavo del 1939 
139,,22/01/17,349831,54357,,Speira-349831,44,615,1,8,20,222,,Egnazia,27,27,1,-300,-290,13,25,matrice,9.5,,9.2,,,terracotta policroma rappresentante una colomba in posizione stante su base troncoconica e con le ali chiuse. I particolari anatomici sono appenna accennati; le zampe sono a rilievo sulla base. Parte anteriore ottenuta a matrice; retro forse lavorato a mano. Policromia evanida,2,scavo del 1939 
391,,22/03/19,350111,1191,,Speira-350111,64,911,1,9,26,108,,Contrada S. Lucia,29,30,,,,13,25,matrice,,,10,,,"Tintinnabulum (sonaglio) policromo a forma di culla di forma rettangolare con fondo ricurvo con sofà. In bassorilievo, la figura di un bambino sdraiato, con le gambe ripiegate incrociate e le mani sotto il capo poggiante su di un grosso cuscino. Tracce di colore rosso sulla superficie; policromia evanida.",2,scavo del 1885 
439,,22/03/28,350160,58555,,Speira-350160,44,615,1,9,28,108,,Via C. Battisti,26,26,2,-310,-301,13,25,matrice,10,4,5,,,"terracotta policroma rappresentante un gobbo avvolto in un mantello che lascia scoperto il braccio destro. Le braccia sono accostate al busto; le gambe sono lievemente piegate e divaricate; la barba piegata in avanti. Regge degli oggetti non identificati. Posteriormente, in basso, un piccolo sfiatatoio. La base è rettangolare. Sulla superficie, tracce di colore paonazzo; Policromia evanida.",2,scavo del 1952 Tomba 2
436,,22/03/21,350157,58557,,Speira-350157,44,615,1,9,28,108,,Via C. Battisti,26,26,2,-310,-301,13,25,matrice,9.5,2.6,5.1,,,"terracotta policroma rappresentante un attore comico della commedia fliacica. Ha la barba liscia a punta, grandi occhi e arti inferiori uniti. La mano destra è davanti al petto, la sinistra poggiata sul fianco. Le braccia e il corpo sono avvolti in un mantello attillato, un lembo del quale pende dal braccio sinistro. Indossa un copricapo sul quale si alzano due corna. Sul retro, piccolo sfiatatoio. Sul viso tracce di colore rosso. Policromia evanida",2,scavo del 1952 Tomba 2
501,,22/07/08,350222,65700,,Speira-350222,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,15.3,5,,,,"rilievo policromo rappresentante Hyakinthos stante su alto podio, nudo, con corona di edera e himation ricadente sulle spalle. è gravitante sulla gamba sinistra, mentre la destra è flessa; il braccio destro è disteso lungo il fianco, il braccio sinistro è sollevato all'altezza del petto e regge una patera. La testa è leggermente inclinata verso sinistra; i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Piccola lacuna alla base; policromia evanida",2,scavo del 1950 
485,,22/10/21,350206,65802,,Speira-350206,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,15.5,5,,,,"rilievo policromo rappresentante Polyboia stante su un podio, con chitone lungo e peplo sulle spalle dalla quale fuoriescono i capelli e la corona di foglie di edera. è gravitante sulla gamba destra, mentre la sinistra è flessa; il braccio destro è disteso sul fianco, la mano sinistra è sollevata e regge un gallo. La testa è leggermente rivolta verso sinistra, i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Policromia evanida",2,scavo del 1950 
504,,22/05/12,350225,65747,,Speira-350225,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,13,5.3,,,,"rilievo policromo rappresentante Hyakinthos stante su alto podio, nudo, con corona di edera e himation ricadente sulle spalle e avvolgente la spalla e il braccio sinistro. è gravitante sulla gamba destra, mentre la sinistra è flessa in avanti; il braccio destro è disteso lungo il fianco, il braccio sinistro è sollevato all'altezza del petto e regge una patera. La testa è frontale; i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Policromia evanida",2,scavo del 1950 
498,,22/01/15,350219,63844,,Speira-350219,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,8.5,5.5,,,,"rilievo policromo rappresentante Polyboia stante su un podio, con chitone lungo e peplo sulle spalle dalla quale fuoriescono i capelli e la corona di foglie di edera. è gravitante sulla gamba destra, mentre la sinistra è flessa; il braccio destro è disteso sul fianco, la mano sinistra è sollevata all'altezza del fianco e regge una patera. La testa è frontale.Sulla superficie tracce di scialbatura e di colore rosa. Policromia evanida",2,scavo del 1950 
479,,22/07/07,350200,64596,,Speira-350200,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,15,5.5,,,,"rilievo policromo rappresentante Polyboia stante su un podio, con chitone lungo e peplo sulle spalle dalla quale fuoriescono i capelli e la corona di foglie di edera. è gravitante sulla gamba destra, mentre la sinistra è flessa; Il braccio destro è disteso sul fianco; la mano sinistra è sollevata all'altezza del petto e regge un ventaglio. La testa è frontale, i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura. Policromia evanida",2,scavo del 1950 
502,,22/10/24,350223,63936,,Speira-350223,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,16.2,5.5,,,,"rilievo policromo rappresentante Polyboia stante su un podio, con chitone lungo e peplo sulle spalle dalla quale fuoriescono i capelli e la corona di foglie di edera. è gravitante sulla gamba sinistra, mentre la destra è flessa; il braccio destro è leggermente piegato lungo fianco e intorno vi si avvolge un lembo dell'himation, la mano sinistra è sollevata all'altezza del petto e regge una patera. La testa è leggermente inclinata verso destra. Sulla superficie tracce di scialbatura e di colore rosa. Policromia evanida; qualche scalfitura sulla superficie",2,scavo del 1950 
492,,22/07/30,350213,65677,,Speira-350213,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,14.2,5.7,,,,"rilievo policromo rappresentante Hyakinthos stante su alto podio, nudo, con corona di edera e himation ricadente sulle spalle e avvolto agli avambracci. è gravitante sulla gamba sinistra, mentre la destra è flessa in avanti; il braccio destro e disteso lungo il fianco, il braccio sinistro è sollevato all'altezza del petto e regge una patera. La testa è leggermente inclinata verso sinistra; i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Superficie abrasa",2,scavo del 1950 
480,,22/04/10,350201,63894,,Speira-350201,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,15.4,5.7,,,,"rilievo policromo rappresentante Polyboia stante su un podio, con chitone ampio e lungo. è gravitante sulla gamba destra, mentre la sinistra è incrociata davanti; il braccio destro è piegato sul fianco, la mano sinistra è sollevata all'altezza della spalla e regge una patera. La testa è leggermente inclinata verso destra, i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura. Policromia evanida",2,scavo del 1950 
476,,22/01/25,350197,63555,,Speira-350197,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,8,6,,,,"rilievo policromo rappresentante Hyakinthos stante su alto podio, nudo, con corona di edera e himation ricadente sulle spalle. è gravitante sulla gamba destra, mentre la sinistra è flessa lateralmente; il braccio destro e disteso lungo il fianco, il braccio sinistro, avvolto dall'himation, è sollevato all'altezza del petto e regge una patera. La testa è frontale; i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Policromia completamente evanida",2,scavo del 1950 
474,,22/10/17,350195,64793,,Speira-350195,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,14,6,,,,"rilievo policromo rappresentante Hyakinthos stante su alto podio, nudo, con corona di edera e himation ricadente sulle spalle. è gravitante sulla gamba destra, mentre la sinistra è flessa; il braccio destro e disteso lungo il fianco, il braccio sinistro è sollevato all'altezza del petto e regge una cetra. La testa è frontale; i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Policromia evanida controllare n. inv.",2,scavo del 1950 
494,,22/05/20,350215,65773,,Speira-350215,30,223,1,9,29,108,Viale Magna Grecia,"Contrada Carmine, Viale Magna Grecia ang. Corso Italia, da un deposito votivo",26,27,15,-310,-290,13,25,matrice,15,6,,,,"rilievo policromo rappresentante Hyakinthos stante su alto podio, nudo con corona ad elementi lobati. Indossa un himation ricadente sulle spalle. è gravitante sulla gamba destra, mentre lasinistra è flessa lateralmente; il braccio destro è piegato con la mano poggiante sul fianco, il braccio sinistro è sollevato all'altezza del petto e regge un canestro di frutti?. La testa è frontale; i capelli sono sciolti e ricadono sulle spalle. Sulla superficie tracce di scialbatura e di colore rosa. Superficie abrasa",2,scavo del 1950 
